scenario_id,feature_ids,requirement_ids,domain,component,method,preconditions,state_before,stimulus,oracle,invariants,profile,network_state,resource_state,storage_state,concurrency,permissions,locale_encoding,phase,status,evidence_ids,finding_ids,notes
TEST-STATIC-011,,,repository-static,checkout,Deterministic CLI help,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-011,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-012,,,repository-static,checkout,Deterministic CLI profile catalog,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-012,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-013,,,repository-static,checkout,JSON/TOML/YAML/OpenAPI/profile contract,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-013,JARVIS-0004;JARVIS-0018;JARVIS-0023,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-014,,,repository-static,checkout,Safe backend subset under coverage,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-014,JARVIS-0005;JARVIS-0006;JARVIS-0007;JARVIS-0008;JARVIS-0009;JARVIS-0010;JARVIS-0011;JARVIS-0013;JARVIS-0019;JARVIS-0021;JARVIS-0022;JARVIS-0024,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-015,,,repository-static,checkout,Coverage JSON generation,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-015,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-016,,,repository-static,checkout,Coverage report,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-016,JARVIS-0021,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-017,,,repository-static,checkout,Public feature/requirement extraction,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-017,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-018,,,repository-static,checkout,Document output collision oracle,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,FAIL_HERMETIC,EVID-STATIC-018,JARVIS-0017,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-019,,,repository-static,checkout,Archive atomic failure oracle,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,FAIL_HERMETIC,EVID-STATIC-019,JARVIS-0012,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-020,,,repository-static,checkout,Full pytest collection,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-020,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-021,,,repository-static,checkout,Static contracts plus credential signature scan,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-021,JARVIS-0004;JARVIS-0018;JARVIS-0023,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-022,,,repository-static,checkout,PowerShell availability,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,BLOCKED_BY_ENV,EVID-STATIC-022,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-023,,,repository-static,checkout,Docker/Compose availability,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,documented command-specific oracle,no production changes; no live services/network,none,disabled except pinned dependency setup,cloud sandbox,synthetic/temp,as test defines,sandbox,UTF-8,A,BLOCKED_BY_ENV,EVID-STATIC-023,,"Metadata JSON contains timestamp, cwd, duration, exit and stdout/stderr paths."
TEST-STATIC-024,,,repository-static,checkout,Initial audit artifact rendering,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,required artifact set rendered,no production changes,none,disabled,cloud sandbox,synthetic/temp,none,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-024,,"Audit-only generation."
TEST-STATIC-025,,,repository-static,checkout,Final traceability artifact rendering,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,requirements receive positive/error/recovery scenarios,no production changes,none,disabled,cloud sandbox,synthetic/temp,none,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-025,,"Audit-only generation."
TEST-STATIC-026,,,repository-static,checkout,Traceability and source-isolation consistency gate,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,all consistency assertions pass,no production changes,none,disabled,cloud sandbox,synthetic/temp,none,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-026,,"PASS: 254 features; 22 requirements; 59 pre-final scenarios; 25 findings/tasks; clean production diff."
TEST-STATIC-027,,,repository-static,checkout,Final evidence manifest snapshot,686424795712cb0a562750b6dade13de18c48792,clean checkout,exact argv in evidence metadata,manifest hashes all prior evidence,no production changes,none,disabled,cloud sandbox,synthetic/temp,none,sandbox,UTF-8,A,PASS_HERMETIC,EVID-STATIC-027,,"The wrapper metadata is the documented self-referential exclusion."
