operator_case_id,scenario_id,repeat,selected_attempt,status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,decision,attempt_history,evidence_basis
OP-0007,FUNC-0007,1,1,FAIL,2,1,0,2,2,NA,NA,1,"Five useful checks are present but the required Markdown bullets and no-introduction rule are violated.","none","catalog and selected GUI record"
OP-0007,FUNC-0007,2,1,FAIL,2,1,0,2,2,NA,NA,1,"Five useful checks are present but the required Markdown bullets and no-introduction rule are violated.","none","catalog and selected GUI record"
OP-0008,FUNC-0008,1,1,PASS,2,2,2,2,2,NA,NA,2,"Exact two-column table with three requested rows.","none","catalog and selected GUI record"
OP-0008,FUNC-0008,2,1,PASS,2,2,2,2,2,NA,NA,2,"Exact two-column table with three requested rows.","none","catalog and selected GUI record"
OP-0009,FUNC-0009,1,1,PASS,2,2,2,2,2,NA,NA,2,"Grounded prose with no list, table, JSON, or service envelope.","none","catalog and selected GUI record"
OP-0009,FUNC-0009,2,1,PASS,2,2,2,2,2,NA,NA,2,"Grounded prose with no list, table, JSON, or service envelope.","none","catalog and selected GUI record"
OP-0009,FUNC-0009,3,1,PASS,2,2,2,2,2,NA,NA,2,"Grounded prose with no list, table, JSON, or service envelope.","none","catalog and selected GUI record"
OP-0010,FUNC-0010,1,1,FAIL,2,2,0,2,1,NA,NA,1,"The values are correct, but the visible JSON language label means the response is not only a JSON object.","none","catalog and selected GUI record after stripping role and timing metadata"
OP-0010,FUNC-0010,2,1,FAIL,2,2,0,2,1,NA,NA,1,"The values are correct, but the visible JSON language label means the response is not only a JSON object.","none","catalog and selected GUI record after stripping role and timing metadata"
OP-0011,FUNC-0011,1,1,PASS,2,2,2,2,2,NA,NA,2,"First line is exactly 518 and the explanation is correct.","none","catalog and selected GUI record"
OP-0011,FUNC-0011,2,1,PASS,2,2,2,2,2,NA,NA,2,"First line is exactly 518 and the explanation is correct.","none","catalog and selected GUI record"
OP-0012,FUNC-0012,1,1,PASS,2,2,2,1,2,NA,NA,1,"Both source actions are explained in Russian; some rationale is speculative and verbose.","none","catalog and selected GUI record"
OP-0012,FUNC-0012,2,1,PASS,2,2,2,2,2,NA,NA,2,"Both source actions are explained accurately in Russian.","none","catalog and selected GUI record"
OP-0013,FUNC-0013,1,1,FAIL,1,0,0,2,2,0,1,1,"The file was created outside the required subdirectory and contains generator wrapper content.","none","selected GUI record plus isolated-home output inspection"
OP-0013,FUNC-0013,2,1,FAIL,1,0,0,2,2,0,1,1,"The file was created outside the required subdirectory and content verification was disclaimed.","none","selected GUI record plus isolated-home output inspection"
OP-0013,FUNC-0013,3,1,FAIL,1,0,0,2,2,0,1,1,"The file was created outside the required subdirectory despite the self-correction.","none","selected GUI record plus isolated-home output inspection"
OP-0014,FUNC-0014,1,1,FAIL,1,0,0,2,2,0,0,1,"The second turn supplies unrelated new choices instead of modifying the previously selected name.","none","catalog and selected GUI record"
OP-0014,FUNC-0014,2,2,FAIL,1,0,0,2,2,0,0,1,"The retry is complete but still loses the referent and supplies new names.","Earlier attempt ended after turn 1 with Error: disabled.","catalog and selected complete GUI retry"
OP-0015,FUNC-0015,1,2,PASS,2,2,1,2,2,2,NA,2,"The second original option is expanded in exactly two sentences; initial numbering is not visible.","Earlier attempt ended after turn 1 with Error: disabled.","catalog and selected complete GUI retry"
OP-0015,FUNC-0015,2,2,PASS,2,2,1,2,2,2,NA,2,"The second original option is expanded in exactly two sentences; initial numbering is not visible.","Earlier attempt ended after turn 1 with Error: disabled.","catalog and selected complete GUI retry"
OP-0016,FUNC-0016,1,1,FAIL,1,1,2,1,2,0,1,1,"The owner value is correct, but it follows a failed lookup of the same indexed file and is not grounded consistently.","none","GUI record plus successful indexed upload and fixture content"
OP-0016,FUNC-0016,2,1,FAIL,1,1,2,1,2,0,1,1,"The owner value is correct, but it follows a failed lookup of the same indexed file and is not grounded consistently.","none","GUI record plus successful indexed upload and fixture content"
OP-0017,FUNC-0017,1,1,PASS,2,2,2,2,2,2,NA,2,"Count changes from three to four while language, length, and no-emoji constraints remain intact.","none","catalog and selected GUI record"
OP-0017,FUNC-0017,2,2,PASS,2,2,2,2,2,2,NA,2,"Complete retry preserves every constraint while changing only the item count.","Earlier attempt ended after turn 1 with Error: disabled.","catalog and selected complete GUI retry"
OP-0017,FUNC-0017,3,1,PASS,2,2,2,2,2,2,NA,2,"Count changes from three to four while language, length, and no-emoji constraints remain intact.","none","catalog and selected GUI record"
OP-0018,FUNC-0018,1,1,PASS,2,2,2,2,2,2,2,2,"Only 44 is corrected to 43; the requested format is preserved.","none","catalog and selected GUI record"
OP-0018,FUNC-0018,2,1,PASS,2,2,2,2,2,2,2,2,"Only 44 is corrected to 43; the requested format is preserved.","none","catalog and selected GUI record"
OP-0019,FUNC-0019,1,1,FAIL,2,2,0,2,1,2,NA,0,"The final plan covers the constraints but is not concise and contains duplicated or malformed formatting.","none","catalog and selected GUI record"
OP-0019,FUNC-0019,2,1,FAIL,2,2,0,2,1,2,NA,0,"The final plan covers the constraints but is not concise and contains duplicated or malformed formatting.","none","catalog and selected GUI record"
OP-0020,FUNC-0020,1,1,PASS,2,2,2,2,2,2,NA,2,"Each conversation returns only its own marker and requested format.","none","catalog and selected GUI record"
OP-0020,FUNC-0020,2,1,PASS,2,2,2,2,2,2,NA,2,"Each conversation returns only its own marker and requested format.","none","catalog and selected GUI record"
OP-0020,FUNC-0020,3,1,PASS,2,2,2,2,2,2,NA,2,"Each conversation returns only its own marker and requested format.","none","catalog and selected GUI record"
OP-0021,FUNC-0021,1,1,PASS,2,2,2,2,2,2,NA,2,"Fresh conversation answers seven without the TEMP marker.","none","catalog and selected GUI record"
OP-0021,FUNC-0021,2,1,PASS,2,2,2,2,2,2,NA,2,"Fresh conversation answers seven without the TEMP marker.","none","catalog and selected GUI record"
OP-0021,FUNC-0021,3,1,PASS,2,2,2,2,2,2,NA,2,"Fresh conversation answers seven without the TEMP marker.","none","catalog and selected GUI record"
OP-0022,FUNC-0022,1,1,PASS,2,2,2,2,2,NA,NA,2,"Exact output 150 with no clarification or prose.","none","catalog and selected GUI record"
OP-0022,FUNC-0022,2,1,PASS,2,2,2,2,2,NA,NA,2,"Exact output 150 with no clarification or prose.","none","catalog and selected GUI record"
OP-0023,FUNC-0023,1,1,FAIL,0,0,0,1,1,0,0,0,"No combined clarification question was asked and no report file was created; only mission plans were returned.","none","catalog, GUI record, and missing expected output path"
OP-0023,FUNC-0023,2,1,FAIL,0,0,0,1,1,0,0,0,"No combined clarification question was asked and a redundant approval request replaced file creation.","none","catalog, GUI record, and missing expected output path"
OP-0024,FUNC-0024,1,1,PASS,2,2,2,2,1,NA,NA,1,"UTF-8 is explicitly named and the checklist is useful; the last two items are malformed into one line.","none","catalog and selected GUI record"
OP-0024,FUNC-0024,2,1,FAIL,2,2,1,2,0,NA,NA,0,"The requested checklist is present, but an internal English continuation note leaks into the user response.","none","catalog and selected GUI record"
OP-0025,FUNC-0025,1,2,FAIL,0,0,0,0,0,0,0,0,"The selected retry exposes a raw inspect call with a mismatched file identifier and produces no summary.","Earlier record refused the attachment as missing; selected retry is an unlabeled appended record.","GUI records plus successful indexed upload and exact fixture content"
OP-0025,FUNC-0025,2,2,FAIL,1,0,0,NA,0,1,0,0,"The selected retry exposes a raw inspect call and produces no three-point summary.","Earlier record produced a summary with one unsupported point; selected retry is an unlabeled appended record.","GUI records plus successful indexed upload and exact fixture content"
OP-0025,FUNC-0025,3,2,FAIL,1,0,0,NA,0,1,0,0,"The selected retry exposes a raw read call and produces no summary.","Earlier record exposed a raw recall call; selected retry is an unlabeled appended record.","GUI records plus successful indexed upload and exact fixture content"
OP-0026,FUNC-0026,1,2,FAIL,1,0,0,1,2,0,0,1,"The indexed fixture exists, but the response reports no reliable match instead of the exact marker.","Earlier record had the same false not-found result; selected retry is an unlabeled appended record.","GUI records plus successful indexed upload and exact fixture content"
OP-0026,FUNC-0026,2,2,FAIL,1,0,0,1,2,0,0,1,"The indexed fixture exists, but the response reports no reliable match instead of the exact marker.","Earlier record had the same false not-found result; selected retry is an unlabeled appended record.","GUI records plus successful indexed upload and exact fixture content"
OP-0027,FUNC-0027,1,1,PASS,2,2,2,2,2,NA,NA,2,"All six controlled values are attributed correctly and the conclusion is useful.","none","GUI record plus exact alpha and beta fixture content"
OP-0027,FUNC-0027,2,1,PASS,2,2,2,2,2,NA,NA,2,"All six controlled values are attributed correctly and the conclusion is useful.","none","GUI record plus exact alpha and beta fixture content"
OP-0028,FUNC-0028,1,1,FAIL,1,0,0,NA,0,1,0,0,"A raw inspect call is returned instead of the heading tree and table.","none","GUI record plus successful indexed upload and exact fixture content"
OP-0028,FUNC-0028,2,1,FAIL,1,0,0,NA,0,1,0,0,"A raw inspect call is returned instead of the heading tree and table.","none","GUI record plus successful indexed upload and exact fixture content"
OP-0029,FUNC-0029,1,1,PASS,2,2,2,2,2,2,NA,2,"The unique report exists at the returned path and contains the required heading and marker.","none","GUI record plus isolated-home output inspection"
OP-0029,FUNC-0029,2,1,FAIL,1,0,0,NA,0,1,0,0,"A raw generate call is terminal and no output file exists.","none","GUI record plus isolated-home output inspection"
OP-0029,FUNC-0029,3,1,FAIL,1,0,0,NA,0,1,0,0,"A raw generate call is terminal and no output file exists.","none","GUI record plus isolated-home output inspection"
OP-0030,FUNC-0030,1,1,PASS,2,2,2,2,2,2,NA,2,"Source hash remains the fixture hash and the new DOCX has exactly one STATUS_NEW replacement.","none","GUI record, fixture QA, and DOCX package inspection"
OP-0030,FUNC-0030,2,1,FAIL,1,0,0,NA,0,1,0,0,"A raw replacement call is terminal and no copy was created.","none","GUI record plus isolated-home output inspection"
OP-0030,FUNC-0030,3,1,FAIL,1,0,0,NA,0,1,0,0,"A raw replacement call is terminal and no copy was created.","none","GUI record plus isolated-home output inspection"
OP-0031,FUNC-0031,1,1,FAIL,1,0,0,1,2,1,0,1,"The DOCX opens, but the Markdown heading and table were flattened into plain text with no DOCX heading style or table.","none","GUI record plus DOCX package inspection"
OP-0031,FUNC-0031,2,1,FAIL,1,0,0,1,2,1,0,1,"The DOCX opens, but the heading and table were flattened and the returned filename is not the requested copy name.","none","GUI record plus DOCX package inspection"
OP-0032,FUNC-0032,1,1,FAIL,1,0,0,1,2,0,0,1,"The indexed prior file exists, but recall returns no match instead of the exact retention code.","none","GUI record plus successful indexed upload and exact fixture content"
OP-0032,FUNC-0032,2,1,FAIL,1,0,0,1,2,0,0,1,"The indexed prior file exists, but recall returns no match instead of the exact retention code.","none","GUI record plus successful indexed upload and exact fixture content"
OP-0033,FUNC-0033,1,1,FAIL,1,0,1,1,2,0,1,2,"The corrupt PDF is stored and known unreadable, but the response incorrectly reports the file as absent.","none","GUI record plus successful upload record with zero chunks and extraction error"
OP-0033,FUNC-0033,2,1,FAIL,1,0,1,1,2,0,1,2,"The corrupt PDF is stored and known unreadable, but the response incorrectly reports the file as absent.","none","GUI record plus successful upload record with zero chunks and extraction error"
OP-0033,FUNC-0033,3,1,FAIL,1,0,1,1,2,0,1,2,"The corrupt PDF is stored and known unreadable, but the response incorrectly reports the file as absent.","none","GUI record plus successful upload record with zero chunks and extraction error"
OP-0034,FUNC-0034,1,1,PASS,2,2,2,2,2,2,NA,2,"Two unique files exist and each contains its own A or B marker.","none","GUI record plus isolated-home output inspection"
OP-0034,FUNC-0034,2,1,FAIL,0,0,1,1,0,0,0,0,"Neither concurrent branch creates an output; one branch leaks a raw filesystem call.","none","GUI record plus isolated-home output inspection"
OP-0034,FUNC-0034,3,1,FAIL,0,0,1,1,0,0,0,0,"Neither concurrent branch creates an output; one branch leaks a raw filesystem call.","none","GUI record plus isolated-home output inspection"
OP-0035,FUNC-0035,1,1,PASS,2,2,2,2,2,2,NA,2,"Profile and loaded model match the isolated runtime state.","none","catalog, GUI record, and current-run launcher state"
OP-0035,FUNC-0035,2,1,PASS,2,2,2,2,2,2,NA,2,"Profile and loaded model match the isolated runtime state.","none","catalog, GUI record, and current-run launcher state"
OP-0035,FUNC-0035,3,1,INCONCLUSIVE,2,1,1,1,2,1,1,1,"The correct identities are stated and then explicitly retracted as unconfirmed, leaving the final answer contradictory.","none","catalog, GUI record, and current-run launcher state"
OP-0036,FUNC-0036,1,1,FAIL,1,0,1,0,1,1,1,0,"No benchmark ran; precise GPU and resource values were invented and later retracted.","none","catalog and selected GUI record"
OP-0036,FUNC-0036,2,1,FAIL,1,0,1,0,1,1,1,0,"No benchmark ran; measured latency is absent and the answer admits the claimed benchmark did not occur.","none","catalog and selected GUI record"
OP-0037,FUNC-0037,1,1,FAIL,2,0,2,2,2,1,0,1,"The approved mkdir is not executed and the same approval is requested again.","none","GUI record plus absent postcondition directory"
OP-0037,FUNC-0037,2,1,FAIL,2,0,2,2,2,1,0,1,"Text approval does not complete the bound action; a new approval token is requested and the directory remains absent.","none","GUI record plus absent postcondition directory"
OP-0037,FUNC-0037,3,1,FAIL,2,0,2,2,2,1,0,1,"Text approval does not complete the bound action; a new approval token is requested and the directory remains absent.","none","GUI record plus absent postcondition directory"
OP-0038,FUNC-0038,1,1,FAIL,0,0,0,1,0,NA,0,0,"Raw source-page text replaces the requested concise version comparison, citations, conclusion, and freshness label.","none","catalog and selected GUI record"
OP-0038,FUNC-0038,2,1,FAIL,0,0,0,1,0,NA,0,0,"Raw source-page text replaces the requested concise version comparison, citations, conclusion, and freshness label.","none","catalog and selected GUI record"
OP-0038,FUNC-0038,3,1,FAIL,0,0,0,1,0,NA,0,0,"Raw source-page text replaces the requested concise version comparison, citations, conclusion, and freshness label.","none","catalog and selected GUI record"
OP-0039,FUNC-0039,1,1,FAIL,1,0,2,2,2,0,0,1,"Both indexed inputs exist, but document recall fails before mission creation and no report is produced.","none","GUI record plus successful indexed uploads and exact fixture content"
OP-0039,FUNC-0039,2,1,FAIL,1,0,2,2,2,0,0,1,"Both indexed inputs exist, but document recall fails before mission creation and no report is produced.","none","GUI record plus successful indexed uploads and exact fixture content"
OP-0039,FUNC-0039,3,1,FAIL,1,0,2,2,2,0,0,1,"Both indexed inputs exist, but document recall fails before mission creation and no report is produced.","none","GUI record plus successful indexed uploads and exact fixture content"
OP-0040,FUNC-0040,1,1,FAIL,0,0,0,1,1,0,0,0,"After interruption, the answer describes a future reconnect algorithm instead of continuing or reporting the actual interrupted response.","none","catalog and selected GUI reconnect record"
OP-0040,FUNC-0040,2,1,PASS,2,2,2,2,2,2,2,2,"The interrupted empty response is retried as one coherent ten-point terminal answer with no duplicated ready text.","none","catalog and selected GUI reconnect record"
OP-0040,FUNC-0040,3,1,PASS,2,2,2,2,2,2,2,2,"The interrupted empty response is retried as one coherent ten-point terminal answer with no duplicated ready text.","none","catalog and selected GUI reconnect record"
OP-0041,FUNC-0041,1,1,INCONCLUSIVE,2,1,1,1,2,1,NA,2,"The color is recalled correctly, but the record does not prove namespaced persistence, persona influence, or persona restoration.","none","catalog and selected GUI record"
OP-0041,FUNC-0041,2,1,INCONCLUSIVE,2,1,1,1,2,1,NA,2,"The color is recalled correctly, but the record does not prove namespaced persistence, persona influence, or persona restoration.","none","catalog and selected GUI record"
OP-0042,FUNC-0042,1,1,PASS,2,2,2,1,2,2,2,2,"Routine results, explicit limitations, proposal-only self-heal, and no host mutation are reported.","none","catalog and selected GUI record"
OP-0042,FUNC-0042,2,1,PASS,2,2,2,1,2,2,2,2,"Routine results, explicit limitations, proposal-only self-heal, and no host mutation are reported.","none","catalog and selected GUI record"
OP-0042,FUNC-0042,3,1,PASS,2,2,2,1,2,2,2,2,"Routine results, explicit limitations, proposal-only self-heal, and no host mutation are reported.","none","catalog and selected GUI record"
OP-0043,FUNC-0043,1,1,BLOCKED_BY_ENV,1,1,2,2,0,1,1,0,"Local arithmetic and the surrogate failure work, but true external-link outage was unavailable; retry leaks raw search JSON.","none","GUI record explicit blocked_dimension and fault_fixture"
OP-0043,FUNC-0043,2,1,BLOCKED_BY_ENV,1,1,1,2,0,1,1,0,"Local arithmetic and the surrogate failure work, but true external-link outage was unavailable; retry leaks raw search JSON.","none","GUI record explicit blocked_dimension and fault_fixture"
OP-0043,FUNC-0043,3,1,BLOCKED_BY_ENV,1,1,2,2,0,1,1,0,"Local arithmetic and the surrogate failure work, but true external-link outage was unavailable; retry leaks raw search JSON.","none","GUI record explicit blocked_dimension and fault_fixture"
OP-0044,FUNC-0044,1,1,FAIL,1,0,0,NA,0,0,0,0,"A raw health call is returned instead of startup-state truth.","none","catalog and selected GUI record"
OP-0044,FUNC-0044,2,1,FAIL,1,0,0,NA,0,0,0,0,"A raw dispatcher call is returned instead of startup-state truth.","none","catalog and selected GUI record"
OP-0044,FUNC-0044,3,1,FAIL,1,0,0,0,1,0,1,0,"The answer claims full readiness and a non-isolated model path, then retracts the profile and model as unconfirmed.","none","catalog, GUI record, and current-run launcher state"
