operator_case_id,repeat,profile,selected_record_line,selected_record_state,prior_attempt_note,accepted_status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,concise_rationale,blocker_evidence,evidence_refs
OP-0049,1,gemma4-mono-perf,128,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No tool result or assistant prose was captured before the explicit GUI timeout.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0049; gui_operator_runs.jsonl:L128; mono-perf-direct-model-probes.json
OP-0049,2,gemma4-mono-perf,129,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No tool result or assistant prose was captured before the explicit GUI timeout.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0049; gui_operator_runs.jsonl:L129; mono-perf-direct-model-probes.json
OP-0050,1,gemma4-mono-perf,130,complete,,FAIL,1,0,0,0,2,1,1,1,The indexed controlled source is reported missing; no exact checksum marker is returned.,mono-perf-doc-1.txt was indexed and contains MP-DOC-1-4E2B.,OPERATOR_TASK_CATALOG.csv:OP-0050; gui_operator_runs.jsonl:L130; mono-perf-direct-model-probes.json; profile-fixture-upload-results.json; gui-fixtures/mono-perf-doc-1.txt
OP-0050,2,gemma4-mono-perf,131,complete,,FAIL,1,0,0,0,2,1,1,1,The indexed controlled source is reported missing; no exact checksum marker is returned.,mono-perf-doc-2.txt was indexed and contains MP-DOC-2-4E2B.,OPERATOR_TASK_CATALOG.csv:OP-0050; gui_operator_runs.jsonl:L131; mono-perf-direct-model-probes.json; profile-fixture-upload-results.json; gui-fixtures/mono-perf-doc-2.txt
OP-0051,1,gemma4-mono-perf,149,complete,Earlier L146 ended after turn 1 with error=Error: disabled; attempt 2 is authoritative.,BLOCKED_BY_ENV,1,0,1,2,0,2,0,1,Both corrupt-file and good-file turns return the same router-failure fallback; recovery cannot execute.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0051; gui_operator_runs.jsonl:L149; mono-perf-direct-model-probes.json
OP-0051,2,gemma4-mono-perf,150,complete,Earlier L147 ended after turn 1 with error=Error: disabled; attempt 2 is authoritative.,BLOCKED_BY_ENV,1,0,1,2,0,2,0,1,Both corrupt-file and good-file turns return the same router-failure fallback; recovery cannot execute.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0051; gui_operator_runs.jsonl:L150; mono-perf-direct-model-probes.json
OP-0051,3,gemma4-mono-perf,151,complete,Earlier L148 ended after turn 1 with error=Error: disabled; attempt 2 is authoritative.,BLOCKED_BY_ENV,1,0,1,2,0,2,0,1,Both corrupt-file and good-file turns return the same router-failure fallback; recovery cannot execute.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0051; gui_operator_runs.jsonl:L151; mono-perf-direct-model-probes.json
OP-0052,1,gemma4-mono-perf,132,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured before timeout; no mission or report exists.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0052; gui_operator_runs.jsonl:L132; mono-perf-direct-model-probes.json
OP-0052,2,gemma4-mono-perf,133,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured before timeout; no mission or report exists.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0052; gui_operator_runs.jsonl:L133; mono-perf-direct-model-probes.json
OP-0052,3,gemma4-mono-perf,134,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured before timeout; no mission or report exists.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0052; gui_operator_runs.jsonl:L134; mono-perf-direct-model-probes.json
OP-0053,1,gemma4-mono-perf,135,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured before timeout; no semantic prose was produced.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0053; gui_operator_runs.jsonl:L135; mono-perf-direct-model-probes.json
OP-0053,2,gemma4-mono-perf,136,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured before timeout; no semantic prose was produced.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0053; gui_operator_runs.jsonl:L136; mono-perf-direct-model-probes.json
OP-0053,3,gemma4-mono-perf,137,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured before timeout; no semantic prose was produced.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0053; gui_operator_runs.jsonl:L137; mono-perf-direct-model-probes.json
OP-0054,1,gemma4-mono-perf,152,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,All four cross-window turns are empty and final=false; isolation behavior is unobservable.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0054; gui_operator_runs.jsonl:L152; mono-perf-direct-model-probes.json
OP-0054,2,gemma4-mono-perf,153,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,All four cross-window turns are empty and final=false; isolation behavior is unobservable.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0054; gui_operator_runs.jsonl:L153; mono-perf-direct-model-probes.json
OP-0054,3,gemma4-mono-perf,154,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,All four cross-window turns are empty and final=false; isolation behavior is unobservable.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0054; gui_operator_runs.jsonl:L154; mono-perf-direct-model-probes.json
OP-0055,1,gemma4-mono-perf,138,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"No profile-truth answer was captured before timeout, although the direct probe confirms the configured 31B/4096 target.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0055; gui_operator_runs.jsonl:L138; mono-perf-direct-model-probes.json
OP-0055,2,gemma4-mono-perf,139,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"No profile-truth answer was captured before timeout, although the direct probe confirms the configured 31B/4096 target.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0055; gui_operator_runs.jsonl:L139; mono-perf-direct-model-probes.json
OP-0055,3,gemma4-mono-perf,140,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"No profile-truth answer was captured before timeout, although the direct probe confirms the configured 31B/4096 target.","Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0055; gui_operator_runs.jsonl:L140; mono-perf-direct-model-probes.json
OP-0056,1,gemma4-mono-perf,141,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured; neither a cited live result nor an actionable network blocker was returned.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0056; gui_operator_runs.jsonl:L141; mono-perf-direct-model-probes.json
OP-0056,2,gemma4-mono-perf,142,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Only GUI timing metadata was captured; neither a cited live result nor an actionable network blocker was returned.,"Direct probes returned HTTP 200 but only repeated ""cyclic"" tokens with finish_reason=length; GUI requests either hit a corroborated 400 fallback or expired.",OPERATOR_TASK_CATALOG.csv:OP-0056; gui_operator_runs.jsonl:L142; mono-perf-direct-model-probes.json
OP-0057,1,gemma4-mono,155,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No assistant content was captured while the mono dispatcher was still outside the bounded readiness window.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0057; gui_operator_runs.jsonl:L155; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0057,2,gemma4-mono,156,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No assistant content was captured while the mono dispatcher was still outside the bounded readiness window.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0057; gui_operator_runs.jsonl:L156; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0058,1,gemma4-mono,157,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No table or assistant content was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0058; gui_operator_runs.jsonl:L157; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0058,2,gemma4-mono,158,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No table or assistant content was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0058; gui_operator_runs.jsonl:L158; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0059,1,gemma4-mono,174,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Both turns are empty and final=false; the model remained slower than the GUI capture window after startup.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0059; gui_operator_runs.jsonl:L174; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0059,2,gemma4-mono,175,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Both turns are empty and final=false; the model remained slower than the GUI capture window after startup.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0059; gui_operator_runs.jsonl:L175; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0059,3,gemma4-mono,176,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,Both turns are empty and final=false; the model remained slower than the GUI capture window after startup.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0059; gui_operator_runs.jsonl:L176; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0060,1,gemma4-mono,159,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No seven-item final or assistant content was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0060; gui_operator_runs.jsonl:L159; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0060,2,gemma4-mono,160,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No seven-item final or assistant content was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0060; gui_operator_runs.jsonl:L160; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0060,3,gemma4-mono,161,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No seven-item final or assistant content was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0060; gui_operator_runs.jsonl:L161; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0061,1,gemma4-mono,162,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No read-only tool result or one-sentence profile answer was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0061; gui_operator_runs.jsonl:L162; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0061,2,gemma4-mono,163,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No read-only tool result or one-sentence profile answer was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0061; gui_operator_runs.jsonl:L163; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0062,1,gemma4-mono,164,incomplete_timeout,,BLOCKED_BY_SPEC,1,0,1,1,1,1,0,0,The requested attached mono-doc-1.txt does not exist in the campaign fixture/upload set; the empty timeout cannot be semantically judged.,No mono-doc-1.txt fixture or upload exists; the catalog requires it as an attachment.,OPERATOR_TASK_CATALOG.csv:OP-0062; gui_operator_runs.jsonl:L164; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json; profile-fixture-upload-results.json
OP-0062,2,gemma4-mono,165,incomplete_timeout,,BLOCKED_BY_SPEC,1,0,1,1,1,1,0,0,The requested attached mono-doc-2.txt does not exist in the campaign fixture/upload set; the empty timeout cannot be semantically judged.,No mono-doc-2.txt fixture or upload exists; the catalog requires it as an attachment.,OPERATOR_TASK_CATALOG.csv:OP-0062; gui_operator_runs.jsonl:L165; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json; profile-fixture-upload-results.json
OP-0063,1,gemma4-mono,177,incomplete_empty,,BLOCKED_BY_SPEC,1,0,1,1,1,1,0,0,"The exact mono-bad-1.pdf and mono-good-1.pdf inputs were never supplied, and both turns are empty.",Only mono-perf-bad/good PDFs exist; the catalog requests distinct mono-bad/good filenames.,OPERATOR_TASK_CATALOG.csv:OP-0063; gui_operator_runs.jsonl:L177; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json; profile-fixture-upload-results.json
OP-0063,2,gemma4-mono,178,incomplete_empty,,BLOCKED_BY_SPEC,1,0,1,1,1,1,0,0,"The exact mono-bad-2.pdf and mono-good-2.pdf inputs were never supplied, and both turns are empty.",Only mono-perf-bad/good PDFs exist; the catalog requests distinct mono-bad/good filenames.,OPERATOR_TASK_CATALOG.csv:OP-0063; gui_operator_runs.jsonl:L178; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json; profile-fixture-upload-results.json
OP-0063,3,gemma4-mono,179,incomplete_empty,,BLOCKED_BY_SPEC,1,0,1,1,1,1,0,0,"The exact mono-bad-3.pdf and mono-good-3.pdf inputs were never supplied, and both turns are empty.",Only mono-perf-bad/good PDFs exist; the catalog requests distinct mono-bad/good filenames.,OPERATOR_TASK_CATALOG.csv:OP-0063; gui_operator_runs.jsonl:L179; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json; profile-fixture-upload-results.json
OP-0064,1,gemma4-mono,180,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"No mission, progress, or report content was captured before timeout.","Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0064; gui_operator_runs.jsonl:L180; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0064,2,gemma4-mono,181,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"No mission, progress, or report content was captured before timeout.","Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0064; gui_operator_runs.jsonl:L181; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0064,3,gemma4-mono,182,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,"No mission, progress, or report content was captured before timeout.","Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0064; gui_operator_runs.jsonl:L182; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0065,1,gemma4-mono,166,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No semantic prose was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0065; gui_operator_runs.jsonl:L166; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0065,2,gemma4-mono,167,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No semantic prose was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0065; gui_operator_runs.jsonl:L167; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0065,3,gemma4-mono,168,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No semantic prose was captured before timeout.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0065; gui_operator_runs.jsonl:L168; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0066,1,gemma4-mono,183,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,All four cross-window turns are empty and final=false; isolation behavior is unobservable.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0066; gui_operator_runs.jsonl:L183; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0066,2,gemma4-mono,184,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,All four cross-window turns are empty and final=false; isolation behavior is unobservable.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0066; gui_operator_runs.jsonl:L184; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0066,3,gemma4-mono,185,incomplete_empty,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,All four cross-window turns are empty and final=false; isolation behavior is unobservable.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0066; gui_operator_runs.jsonl:L185; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0067,1,gemma4-mono,169,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No profile-truth answer was captured; probes later confirm the intended 31B/16384 state but unusable generation.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0067; gui_operator_runs.jsonl:L169; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
OP-0067,2,gemma4-mono,170,incomplete_timeout,,BLOCKED_BY_ENV,1,0,1,1,1,1,0,0,No profile-truth answer was captured; probes later confirm the intended 31B/16384 state but unusable generation.,"Profile missed the 20-minute startup bound, became healthy only after about 27 minutes, and a ready direct probe took 47.3 s then returned repeated ""cyclic"" tokens; GUI windows expired empty.",OPERATOR_TASK_CATALOG.csv:OP-0067; gui_operator_runs.jsonl:L170; mono-startup-timeout-20m.json; mono-ready-after-27m.json; mono-direct-model-probes-ready.json
