operator_case_id,scenario_id,profile,repeat,selected_attempt,jsonl_line,status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,rationale,attempt_history,evidence_refs
OP-0062,FUNC-0062,gemma4-mono,1,1,164,BLOCKED_BY_ENV,0,0,0,NA,0,0,0,0,"Required mono-doc-1.txt is absent from the 14-file profile upload inventory; the GUI request also timed out empty.","none","gui_operator_runs.jsonl:L164; profile-fixture-upload-results.json#/results"
OP-0062,FUNC-0062,gemma4-mono,2,1,165,BLOCKED_BY_ENV,0,0,0,NA,0,0,0,0,"Required mono-doc-2.txt is absent from the 14-file profile upload inventory; the GUI request also timed out empty.","none","gui_operator_runs.jsonl:L165; profile-fixture-upload-results.json#/results"
OP-0063,FUNC-0063,gemma4-mono,1,1,177,BLOCKED_BY_ENV,0,0,0,NA,0,0,0,0,"Required mono-bad-1.pdf and mono-good-1.pdf are absent from the profile fixture inventory; both turns also timed out empty.","none","gui_operator_runs.jsonl:L177; profile-fixture-upload-results.json#/results; mono-direct-model-probes-ready.json#/probes/0"
OP-0063,FUNC-0063,gemma4-mono,2,1,178,BLOCKED_BY_ENV,0,0,0,NA,0,0,0,0,"Required mono-bad-2.pdf and mono-good-2.pdf are absent from the profile fixture inventory; both turns also timed out empty.","none","gui_operator_runs.jsonl:L178; profile-fixture-upload-results.json#/results; mono-direct-model-probes-ready.json#/probes/0"
OP-0063,FUNC-0063,gemma4-mono,3,1,179,BLOCKED_BY_ENV,0,0,0,NA,0,0,0,0,"Required mono-bad-3.pdf and mono-good-3.pdf are absent from the profile fixture inventory; both turns also timed out empty.","none","gui_operator_runs.jsonl:L179; profile-fixture-upload-results.json#/results; mono-direct-model-probes-ready.json#/probes/0"
OP-0064,FUNC-0064,gemma4-mono,1,1,180,FAIL,0,0,0,NA,0,0,0,0,"Indexed mission inputs exist, but execution times out with no progress or final comparison.","none","gui_operator_runs.jsonl:L180; profile-fixture-upload-results.json#/results/0-5; mono-direct-model-probes-ready.json#/probes/0"
OP-0064,FUNC-0064,gemma4-mono,2,1,181,FAIL,0,0,0,NA,0,0,0,0,"Indexed mission inputs exist, but execution times out with no progress or final comparison.","none","gui_operator_runs.jsonl:L181; profile-fixture-upload-results.json#/results/0-5; mono-direct-model-probes-ready.json#/probes/0"
OP-0064,FUNC-0064,gemma4-mono,3,1,182,FAIL,0,0,0,NA,0,0,0,0,"Indexed mission inputs exist, but execution times out with no progress or final comparison.","none","gui_operator_runs.jsonl:L182; profile-fixture-upload-results.json#/results/0-5; mono-direct-model-probes-ready.json#/probes/0"
OP-0065,FUNC-0065,gemma4-mono,1,1,166,FAIL,0,0,0,NA,0,NA,0,0,"No prose response was rendered before timeout.","none","gui_operator_runs.jsonl:L166; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0065,FUNC-0065,gemma4-mono,2,1,167,FAIL,0,0,0,NA,0,NA,0,0,"No prose response was rendered before timeout.","none","gui_operator_runs.jsonl:L167; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0065,FUNC-0065,gemma4-mono,3,1,168,FAIL,0,0,0,NA,0,NA,0,0,"No prose response was rendered before timeout.","none","gui_operator_runs.jsonl:L168; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0066,FUNC-0066,gemma4-mono,1,1,183,FAIL,0,0,0,NA,0,0,0,0,"All four window turns timed out empty after readiness; isolation and format state were never established.","none","gui_operator_runs.jsonl:L183; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0066,FUNC-0066,gemma4-mono,2,1,184,FAIL,0,0,0,NA,0,0,0,0,"All four window turns timed out empty after readiness; isolation and format state were never established.","none","gui_operator_runs.jsonl:L184; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0066,FUNC-0066,gemma4-mono,3,1,185,FAIL,0,0,0,NA,0,0,0,0,"All four window turns timed out empty after readiness; isolation and format state were never established.","none","gui_operator_runs.jsonl:L185; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0067,FUNC-0067,gemma4-mono,1,1,169,FAIL,0,0,0,NA,0,0,0,0,"No profile, model, or configured context answer was rendered before timeout.","none","gui_operator_runs.jsonl:L169; mono-ready-after-27m.json#/backend_status; mono-ready-after-27m.json#/model_catalog"
OP-0067,FUNC-0067,gemma4-mono,2,1,170,FAIL,0,0,0,NA,0,0,0,0,"No profile, model, or configured context answer was rendered before timeout.","none","gui_operator_runs.jsonl:L170; mono-ready-after-27m.json#/backend_status; mono-ready-after-27m.json#/model_catalog"
OP-0067,FUNC-0067,gemma4-mono,3,1,171,FAIL,0,0,0,NA,0,0,0,0,"No profile, model, or configured context answer was rendered before timeout.","none","gui_operator_runs.jsonl:L171; mono-ready-after-27m.json#/backend_status; mono-ready-after-27m.json#/model_catalog"
OP-0068,FUNC-0068,gemma4-mono,1,1,172,FAIL,0,0,0,NA,0,NA,0,0,"The web request timed out with no cited result or actionable network blocker.","none","gui_operator_runs.jsonl:L172; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
OP-0068,FUNC-0068,gemma4-mono,2,1,173,FAIL,0,0,0,NA,0,NA,0,0,"The web request timed out with no cited result or actionable network blocker.","none","gui_operator_runs.jsonl:L173; mono-ready-after-27m.json#/note; mono-direct-model-probes-ready.json#/probes/0"
