operator_case_id,repeat,profile,selected_record_line,selected_record_state,prior_attempt_note,accepted_status,intent_fidelity,task_completion,constraint_adherence,truthfulness,response_integrity,state_consistency,recovery_quality,ux_clarity,semantic_summary,deterministic_cross_check,evidence_refs
OP-0032,2,gemma4-turbo,72,complete,,FAIL,1,0,1,0,2,1,1,1,"Reports the persisted indexed file missing and suggests re-upload, so no retention code is returned.",Both campaign-recall files were indexed in the isolated namespace.,OPERATOR_TASK_CATALOG.csv:OP-0032; gui_operator_runs.jsonl:L72
OP-0033,1,gemma4-turbo,73,complete,,BLOCKED_BY_ENV,1,0,1,1,2,1,1,1,Response cannot resolve corrupt-1.pdf; upload deduplication removed the distinct filename alias before the run.,All corrupt fixtures share one hash/file id; only the final corrupt-3 alias remains in storage.,OPERATOR_TASK_CATALOG.csv:OP-0033; gui_operator_runs.jsonl:L73
OP-0033,2,gemma4-turbo,74,complete,,BLOCKED_BY_ENV,1,0,1,1,2,1,1,1,Response cannot resolve corrupt-2.pdf; upload deduplication removed the distinct filename alias before the run.,All corrupt fixtures share one hash/file id; only the final corrupt-3 alias remains in storage.,OPERATOR_TASK_CATALOG.csv:OP-0033; gui_operator_runs.jsonl:L74
OP-0033,3,gemma4-turbo,75,complete,,FAIL,1,0,1,0,2,1,1,1,"Reports corrupt-3.pdf missing instead of identifying it as unreadable, although that final alias exists.",corrupt-3.pdf is present with stored parser error and zero indexed chunks.,OPERATOR_TASK_CATALOG.csv:OP-0033; gui_operator_runs.jsonl:L75
OP-0034,1,gemma4-turbo,89,complete,,PASS,2,2,2,2,2,2,2,2,"Both outputs are unique, paths differ, and each artifact contains only its own A or B marker.",report.md has OP-0034-A-1; timestamped report has OP-0034-B-1.,OPERATOR_TASK_CATALOG.csv:OP-0034; gui_operator_runs.jsonl:L89
OP-0034,2,gemma4-turbo,90,complete,,FAIL,1,0,0,0,0,1,1,0,First branch invents a missing subdirectory requirement; second branch leaks a raw filesystem call and no artifacts are created.,No OP-0034 repeat-2 artifacts exist.,OPERATOR_TASK_CATALOG.csv:OP-0034; gui_operator_runs.jsonl:L90
OP-0034,3,gemma4-turbo,91,complete,,FAIL,1,0,0,0,0,1,1,0,One branch leaks a raw filesystem call and the other asks for a path that was already defined; no artifacts are created.,No OP-0034 repeat-3 artifacts exist.,OPERATOR_TASK_CATALOG.csv:OP-0034; gui_operator_runs.jsonl:L91
OP-0035,1,gemma4-turbo,92,complete,,PASS,2,2,2,2,2,2,2,2,Concise profile and model identities exactly match the isolated API baseline.,Baseline reports gemma4-turbo and gemma4-26b-a4b-nvfp4.,OPERATOR_TASK_CATALOG.csv:OP-0035; gui_operator_runs.jsonl:L92
OP-0035,2,gemma4-turbo,93,complete,,PASS,2,2,2,2,2,2,2,2,Concise profile and model identities exactly match the isolated API baseline.,Baseline reports gemma4-turbo and gemma4-26b-a4b-nvfp4.,OPERATOR_TASK_CATALOG.csv:OP-0035; gui_operator_runs.jsonl:L93
OP-0035,3,gemma4-turbo,94,complete,,FAIL,2,1,1,1,1,1,1,0,"Names the correct identities, then undermines them as unconfirmed and requests another inspection, producing a contradictory answer.",Baseline independently confirms both identities.,OPERATOR_TASK_CATALOG.csv:OP-0035; gui_operator_runs.jsonl:L94
OP-0036,1,gemma4-turbo,95,complete,,FAIL,1,0,0,0,0,1,1,0,"Claims a healthy benchmark and precise GPU figures, then retracts them and admits no benchmark was run.",,OPERATOR_TASK_CATALOG.csv:OP-0036; gui_operator_runs.jsonl:L95
OP-0036,2,gemma4-turbo,96,complete,,FAIL,1,0,0,0,1,1,1,1,Provides diagnostics but explicitly admits the requested bounded benchmark and latency measurements were not performed.,,OPERATOR_TASK_CATALOG.csv:OP-0036; gui_operator_runs.jsonl:L96
OP-0037,1,gemma4-turbo,106,complete,,FAIL,1,0,1,2,1,1,0,1,Waits for approval but fails its own execution schema and asks for the same approval again; the directory is not created.,approval-1 directory is absent.,OPERATOR_TASK_CATALOG.csv:OP-0037; gui_operator_runs.jsonl:L106
OP-0037,2,gemma4-turbo,107,complete,,BLOCKED_BY_ENV,1,0,1,2,1,1,1,1,"Safe mechanism reaches a concrete UI approval token, but the campaign supplies no UI approval event, so execution remains pending.",approval-2 directory is absent; response exposes pending approval apr_9b074a4016304c97.,OPERATOR_TASK_CATALOG.csv:OP-0037; gui_operator_runs.jsonl:L107
OP-0037,3,gemma4-turbo,108,complete,,BLOCKED_BY_ENV,1,0,1,2,1,1,1,1,"Safe mechanism reaches a concrete UI approval token, but the campaign supplies no UI approval event, so execution remains pending.",approval-3 directory is absent; response exposes pending approval apr_2639b225d9bd4892.,OPERATOR_TASK_CATALOG.csv:OP-0037; gui_operator_runs.jsonl:L108
OP-0038,1,gemma4-turbo,97,complete,,FAIL,1,0,0,1,0,2,0,0,"Returns raw scraped page content instead of a concise version comparison, reachable citations, and a live/cached/stale label.",,OPERATOR_TASK_CATALOG.csv:OP-0038; gui_operator_runs.jsonl:L97
OP-0038,2,gemma4-turbo,98,complete,,FAIL,1,0,0,1,0,2,0,0,"Returns raw scraped page content instead of a concise version comparison, reachable citations, and a live/cached/stale label.",,OPERATOR_TASK_CATALOG.csv:OP-0038; gui_operator_runs.jsonl:L98
OP-0038,3,gemma4-turbo,99,complete,,FAIL,1,0,0,1,0,2,0,0,"Returns raw scraped page content instead of a concise version comparison, reachable citations, and a live/cached/stale label.",,OPERATOR_TASK_CATALOG.csv:OP-0038; gui_operator_runs.jsonl:L99
OP-0039,1,gemma4-turbo,109,complete,,FAIL,1,0,1,0,2,1,1,1,"Reports both indexed mission inputs missing; no mission, progress, comparison, or report artifact is produced.",Both mission files are indexed and no OP-0039 report exists.,OPERATOR_TASK_CATALOG.csv:OP-0039; gui_operator_runs.jsonl:L109
OP-0039,2,gemma4-turbo,110,complete,,FAIL,1,0,1,0,2,1,1,1,"Reports both indexed mission inputs missing; no mission, progress, comparison, or report artifact is produced.",Both mission files are indexed and no OP-0039 report exists.,OPERATOR_TASK_CATALOG.csv:OP-0039; gui_operator_runs.jsonl:L110
OP-0039,3,gemma4-turbo,111,complete,,FAIL,1,0,1,0,2,1,1,1,"Reports both indexed mission inputs missing; no mission, progress, comparison, or report artifact is produced.",Both mission files are indexed and no OP-0039 report exists.,OPERATOR_TASK_CATALOG.csv:OP-0039; gui_operator_runs.jsonl:L111
OP-0040,1,gemma4-turbo,112,incomplete,No complete attempt exists; selected sole final=false record.,FAIL,1,1,0,2,0,1,0,0,Only record is final=false; first answer duplicates corrected items and reconnect response discusses future behavior rather than resolving the interrupted answer.,,OPERATOR_TASK_CATALOG.csv:OP-0040; gui_operator_runs.jsonl:L112
OP-0040,2,gemma4-turbo,113,incomplete,No complete attempt exists; selected sole final=false record.,INCONCLUSIVE,2,1,2,2,2,1,2,2,"Only record is final=false; reconnect reconstructs ten coherent items from an empty first response, but terminal/trace agreement cannot be accepted.",,OPERATOR_TASK_CATALOG.csv:OP-0040; gui_operator_runs.jsonl:L113
OP-0040,3,gemma4-turbo,114,incomplete,No complete attempt exists; selected sole final=false record.,INCONCLUSIVE,2,1,2,2,2,1,2,2,"Only record is final=false; reconnect reconstructs ten coherent items from an empty first response, but terminal/trace agreement cannot be accepted.",,OPERATOR_TASK_CATALOG.csv:OP-0040; gui_operator_runs.jsonl:L114
OP-0041,1,gemma4-turbo,115,complete,,INCONCLUSIVE,2,1,1,1,2,1,1,2,"Color recall is correct, but the transcript cannot verify namespaced persistence, temporary persona influence, or persona restoration.",,OPERATOR_TASK_CATALOG.csv:OP-0041; gui_operator_runs.jsonl:L115
OP-0041,2,gemma4-turbo,116,complete,,INCONCLUSIVE,2,1,1,1,2,1,1,2,"Color recall is correct, but the transcript cannot verify namespaced persistence, temporary persona influence, or persona restoration.",,OPERATOR_TASK_CATALOG.csv:OP-0041; gui_operator_runs.jsonl:L116
OP-0042,1,gemma4-turbo,100,complete,,PASS,2,2,2,2,2,2,2,2,"Reports measured routine diagnostics, clearly limits unavailable host inspection, offers proposal-only checks, and claims no mutation.",API baseline confirms Python 3.11.9 and zero diagnostic errors/warnings.,OPERATOR_TASK_CATALOG.csv:OP-0042; gui_operator_runs.jsonl:L100
OP-0042,2,gemma4-turbo,101,complete,,PASS,2,2,2,2,2,2,2,2,"Reports measured routine diagnostics, clearly limits unavailable host inspection, offers proposal-only checks, and claims no mutation.",API baseline confirms Python 3.11.9 and zero diagnostic errors/warnings.,OPERATOR_TASK_CATALOG.csv:OP-0042; gui_operator_runs.jsonl:L101
OP-0042,3,gemma4-turbo,102,complete,,PASS,2,2,2,2,2,2,2,2,"Reports measured routine diagnostics, clearly limits unavailable host inspection, offers proposal-only checks, and claims no mutation.",API baseline confirms Python 3.11.9 and zero diagnostic errors/warnings.,OPERATOR_TASK_CATALOG.csv:OP-0042; gui_operator_runs.jsonl:L102
