scenario_id,group_id,title,profile,surface,is_gui_e2e,priority,critical,repeat_count,repeat_policy,preconditions,steps,expected_result,validator,cleanup,status,evidence_path,operator_case_id
FUNC-0011,G03,Сначала результат затем объяснение,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0011,First line contains result; following text is a short explanation,Ordered-section validator; semantic rubric twice,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0011
FUNC-0012,G03,Русский ответ на mixed-language source,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit mixed-language material from OP-0012,Entire user-facing answer is Russian except unavoidable identifiers,Language classifier; identifier allowlist,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0012
FUNC-0013,G06,Точный filename path и output type,gemma4-turbo,GUI/Dialog and generated artifact,TRUE,P0,TRUE,3,critical_repeat,Campaign output root exists and is empty for case marker,Submit OP-0013; wait for claimed artifact; inspect path,Artifact exists at exact allowed path with requested type and content; response names the real path,Existence; extension; hash; content validator; false-success scan,Retain artifact under campaign evidence; remove only disposable duplicate,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0013
FUNC-0014,G04,Ссылка местоимением это,gemma4-turbo,GUI/Dialog multi-turn,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack; new campaign conversation,Send setup turn then OP-0014 follow-up,Follow-up resolves the intended prior object without unnecessary question,Expected-reference checklist; semantic rubric twice,Delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0014
FUNC-0015,G04,Ссылка второй вариант,gemma4-turbo,GUI/Dialog multi-turn,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack; new campaign conversation,Ask for three options then OP-0015,Only the second option is expanded and identity is preserved,Option-index validator; semantic rubric twice,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0015
FUNC-0016,G06,Ссылка тот файл,gemma4-turbo,GUI/Dialog with attachment,TRUE,P1,FALSE,2,ordinary_repeat,Synthetic file uploaded in current conversation,Ask about file then submit OP-0016,Answer uses the intended uploaded file and cites its actual name,File marker/fact validator; attachment ID match,Delete conversation; retain namespaced upload,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0016
FUNC-0017,G04,Изменение одного ограничения,gemma4-turbo,GUI/Dialog multi-turn,TRUE,P0,TRUE,3,critical_repeat,Owned turbo stack; new conversation,Set several constraints; submit OP-0017 changing one,"Only named constraint changes; language, scope and format remain",Constraint matrix validator; semantic rubric twice,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0017
FUNC-0018,G04,Исправление предыдущего ответа,gemma4-turbo,GUI/Dialog multi-turn,TRUE,P1,FALSE,2,ordinary_repeat,Create prior answer containing a planted correctable issue,Submit OP-0018,Corrected answer fixes the issue and does not defend the error or lose constraints,Before/after fact and constraint diff,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0018
FUNC-0019,G04,Возврат к исходной цели после follow-up,gemma4-turbo,GUI/Dialog long multi-turn,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack; bounded 8-turn synthetic conversation,Run setup and follow-ups; submit OP-0019,Final returns to original goal with retained constraints and no cross-topic residue,Goal/constraint checklist; semantic rubric twice,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0019
FUNC-0020,G04,Две параллельные conversations,gemma4-turbo,GUI/Dialog windows,TRUE,P0,TRUE,3,critical_repeat,Two new chat windows with distinct secret markers,Interleave turns from OP-0020 in both windows; reload history,Each final contains only its own marker and constraints,Cross-session marker matrix; conversation/message ID check,Delete both campaign conversations,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0020
FUNC-0021,G04,Новая conversation без старых временных инструкций,gemma4-turbo,GUI/Dialog windows,TRUE,P0,TRUE,3,critical_repeat,One conversation has a temporary formatting rule,Open a new window; submit OP-0021,New conversation ignores old temporary rule and contains no old marker,Negative marker and format scan; conversation ID check,Delete both campaign conversations,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0021
FUNC-0022,G03,Однозначная задача без уточнения,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0022,Task is completed directly with zero clarification questions,Question-count and completion validator,Delete campaign conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0022
FUNC-0023,G03,Реальная неоднозначность и один вопрос,gemma4-turbo,GUI/Dialog multi-turn,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit ambiguous first turn from OP-0023; answer the clarification,Exactly one precise question is asked; after answer the original task is completed,Question-count; relevance check; completion rubric twice,Delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0023
FUNC-0024,G03,Безопасный default с assumption,gemma4-turbo,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned turbo stack ready,Submit OP-0024,Uses the obvious harmless default; states the assumption briefly; completes the task,Assumption and completion checklist,Delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0024
FUNC-0025,G06,Загрузить и пересказать synthetic document,gemma4-turbo,GUI/Dialog attachment,TRUE,P0,TRUE,3,critical_repeat,Unique synthetic text document prepared; file baseline recorded,Upload file; submit OP-0025,Summary is grounded in the uploaded document and names it correctly,Source fact checklist; file/message IDs; marker scan,Retain namespaced upload; delete conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0025
FUNC-0026,G06,Найти факт в документе,gemma4-turbo,GUI/Dialog attachment,TRUE,P1,FALSE,2,ordinary_repeat,Synthetic document contains one unique fact marker,Upload or reuse current attachment; submit OP-0026,Returns exact fact with no invented adjacent detail,Exact marker validator; semantic rubric twice,Retain namespaced upload; delete conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0026
FUNC-0027,G06,Сравнить два документа,gemma4-turbo,GUI/Dialog attachments,TRUE,P1,FALSE,2,ordinary_repeat,Two synthetic documents with controlled differences prepared,Attach both; submit OP-0027,Comparison covers requested dimensions and attributes each fact to correct file,Controlled-difference matrix; filename attribution,Retain namespaced uploads; delete conversation,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0027
FUNC-0028,G06,Извлечь таблицу и структуру,gemma4-turbo,GUI/Dialog attachment,TRUE,P1,FALSE,2,ordinary_repeat,Synthetic document includes a known table and headings,Upload; submit OP-0028,"Output contains exact rows, columns and heading hierarchy in requested form",Structured parser; exact cell and heading checks,Retain namespaced upload; delete conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0028
FUNC-0029,G06,Создать новый artifact,gemma4-turbo,GUI/Dialog and artifact,TRUE,P0,TRUE,3,critical_repeat,Dedicated empty campaign output directory,Submit OP-0029; wait for terminal result,A nonempty unique artifact exists and response reports its exact path,Existence/hash/content; claimed-path equality; false-success scan,Retain artifact as evidence,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0029
FUNC-0030,G06,Изменить только копию,gemma4-turbo,GUI/Dialog and artifact,TRUE,P0,TRUE,3,critical_repeat,Source document copied to campaign input; source hash recorded,Submit OP-0030; inspect source and output,Original hash is unchanged; edited copy contains only requested change,Pre/post hashes; controlled diff; path check,Retain source and output under evidence,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0030
FUNC-0031,G06,Преобразовать формат,gemma4-turbo,GUI/Dialog and artifact,TRUE,P1,FALSE,2,ordinary_repeat,Synthetic source document and output root prepared,Submit OP-0031,Requested format opens/parses and preserves controlled content,Parser open; text/table equality; file type signature,Retain outputs under evidence,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0031
FUNC-0032,G06,Повторно обратиться к ранее загруженному файлу,gemma4-turbo,GUI/Dialog history,TRUE,P1,FALSE,2,ordinary_repeat,File indexed in earlier campaign conversation; unique marker known,Open a fresh conversation; submit OP-0032 naming the file,System resolves the persisted source and answers from its content,Filename/source ID; exact marker; no wrong-file facts,Delete conversation; retain namespaced file,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0032
FUNC-0033,G06,Повреждённый или unsupported файл,gemma4-turbo,GUI/Dialog attachment error,TRUE,P0,TRUE,3,critical_repeat,Small synthetic corrupt file prepared; output directory baseline recorded,Upload and submit OP-0033,Short actionable error; no traceback; no success claim; no partial published output,Error-text rubric; marker scan; output-dir diff,Retain corrupt fixture; remove disposable temp only,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0033
FUNC-0034,G06,Concurrent generation без перезаписи,gemma4-turbo,GUI/two dialog windows and artifacts,TRUE,P0,TRUE,3,critical_repeat,Two conversations; same requested basename; output baseline recorded,Submit OP-0034 concurrently in both windows,Both requests finish with distinct existing outputs; neither overwrites the other,Artifact count; unique paths; hashes; cross-session marker matrix,Retain both outputs as evidence,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0034
FUNC-0035,G02,Status profile model truth,gemma4-turbo,GUI/System and Models,TRUE,P0,TRUE,3,critical_repeat,Turbo stack ready; launcher/API identity captured,Open System and Models; submit OP-0035 in chat,"GUI and answer match launcher, provider, API and loaded model identity",Five-layer identity equality validator,Read-only; no cleanup,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0035
FUNC-0036,G10,Диагностика read-only и benchmark,gemma4-turbo,GUI/Diagnostics and Resources,TRUE,P1,FALSE,2,ordinary_repeat,Turbo stack ready; baseline state hashes/counters recorded,Run diagnostics and bounded benchmark; submit OP-0036,Results show measured status; read-only diagnostics do not mutate protected state,API/UI value comparison; state diff allowlist; latency capture,Retain benchmark record; restore no settings,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0036
FUNC-0037,G05,Безопасное действие и точный approval,gemma4-turbo,GUI/Dialog and Approvals,TRUE,P0,TRUE,3,critical_repeat,Harmless namespaced action fixture prepared; state baseline recorded,Submit OP-0037; inspect gate; approve and execute once,Only exact action executes once; bound arguments match; final reflects actual state,Approval/action binding; audit/tool records; postcondition; replay rejection,Remove only created campaign object; verify baseline,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0037
FUNC-0038,G07,Web synthesis с citations,gemma4-turbo,GUI/Dialog and Internet,TRUE,P0,TRUE,3,critical_repeat,External connectivity available or environment blocker recorded,Submit OP-0038; inspect result and provenance,Useful synthesis with valid citations and live/cached/stale indication; no bare-link handoff,URL reachability; claim/source mapping; handoff detector; marker scan,No browser session retained; delete conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0038
FUNC-0039,G08,Mission plan execution progress final report,gemma4-turbo,GUI/Missions,TRUE,P0,TRUE,3,critical_repeat,Read-only synthetic mission fixture; owned runtime; unique marker,Submit OP-0039; create mission; run to terminal state; open report,Steps actually run; progress is truthful; final report answers goal and lists real deliverables,Mission/task/event state; artifact existence; report rubric twice; false-success scan,Retain mission evidence; no host mutation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0039
FUNC-0040,G12,GUI stream interrupt reconnect и stale-success,gemma4-turbo,GUI/Dialog panels and trace,TRUE,P0,TRUE,3,critical_repeat,Owned backend/frontend; reversible stream interruption fixture,Submit OP-0040; interrupt once; reconnect/retry; inspect panels and trace,One coherent final or honest interruption; no duplicate/partial/stale success; panels recover,NDJSON reconstruction; DOM final count; trace/message IDs; error rubric,Restore services; delete campaign conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0040
FUNC-0041,G09,Namespaced memory persona learning,gemma4-turbo,GUI/Memory and Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Persona snapshot saved; memory namespace audit.functional run ID,Submit OP-0041; add unique memory; query by paraphrase; test persona fact; bounded learning if isolated,Correct campaign fact is recalled; original persona restored; learning counts are truthful or safely blocked,Namespace and marker lookup; persona before/after equality; event counts,Restore persona; retain namespaced memory intentionally,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0041
FUNC-0042,G11,Autonomy routine self-heal safe mode,gemma4-turbo,GUI/Diagnostics and autonomy panels,TRUE,P0,TRUE,3,critical_repeat,Safe autonomy policy snapshot; no destructive fixture,Submit OP-0042; run diagnostics routine and self-heal proposal,Produces measured results and safe suggestions or approval; no silent host mutation,Policy/state diff; audit records; approval presence; semantic rubric twice,Restore policy snapshot; cancel campaign jobs,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0042
FUNC-0043,G13,Offline local core и network recovery,gemma4-turbo,GUI/Dialog and Internet,TRUE,P0,TRUE,3,critical_repeat,Loopback-preserving reversible external-network fixture proven,Isolate external network; submit OP-0043 local and web turns; restore; retry web,Local core works; web failure is honest/actionable; retry succeeds after restore without stale state,Connectivity probes; response/error rubric; final state check,Restore connectivity and verify normal smoke,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0043
FUNC-0044,G01,Startup restart и GUI status truth,gemma4-turbo,Launcher plus GUI/System,TRUE,P0,TRUE,3,critical_repeat,Checkpointed owned stack/process/port baseline,Start or restart turbo via launcher; open GUI; submit OP-0044,"GUI status exactly matches owned services, profile and readiness during and after transition",Launcher state; process birth IDs; ports; API/UI equality,Return to documented initial runtime state,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0044
FUNC-0045,G03,Mono-perf direct answer,gemma4-mono-perf,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned mono-perf stack ready; clean conversation,Submit OP-0045,Complete useful Russian answer within bounded token budget,Semantic rubric twice; language and marker scan,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0045
FUNC-0046,G03,Mono-perf strict format,gemma4-mono-perf,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned mono-perf stack ready,Submit OP-0046,Exactly four requested bullets and no preamble,List-count validator; constraint scan,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0046
FUNC-0047,G04,Mono-perf multi-turn constraints,gemma4-mono-perf,GUI/Dialog multi-turn,TRUE,P0,TRUE,3,critical_repeat,Owned mono-perf stack; new conversation,Run setup and OP-0047 follow-up,Changes one requested element and retains all other constraints,Constraint matrix; semantic rubric twice,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0047
FUNC-0048,G03,Mono-perf stream integrity,gemma4-mono-perf,GUI/Dialog stream,TRUE,P0,TRUE,3,critical_repeat,Owned mono-perf stack ready,Submit OP-0048; capture NDJSON and rendered final,One coherent non-truncated final; no transport or tool fragments,Stream reconstruction; terminal-count; marker scan,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0048
FUNC-0049,G05,Mono-perf ordinary safe tool,gemma4-mono-perf,GUI/Dialog and tool record,TRUE,P1,FALSE,2,ordinary_repeat,Read-only system status tool available,Submit OP-0049,Tool runs only as needed and answer reports actual status rather than raw output,Tool/audit record; state comparison; marker scan,Read-only; delete conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0049
FUNC-0050,G06,Mono-perf document fact,gemma4-mono-perf,GUI/Dialog attachment,TRUE,P1,FALSE,2,ordinary_repeat,Small synthetic document with unique marker prepared,Upload; submit OP-0050,Exact requested fact is returned and source file is identified,Exact marker and filename validator,Retain namespaced upload; delete conversation,FAIL,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0050
FUNC-0051,G12,Mono-perf failure and recovery,gemma4-mono-perf,GUI/Dialog error and retry,TRUE,P0,TRUE,3,critical_repeat,Reversible unsupported-file or tool-unavailable fixture,Submit OP-0051 failing request; correct fixture; retry,First error is concise/actionable and not success; retry succeeds without stale partial output,Error rubric; output diff; retry final integrity,Restore fixture; delete conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0051
FUNC-0052,G08,Mono-perf mission final result,gemma4-mono-perf,GUI/Missions,TRUE,P0,TRUE,3,critical_repeat,Small read-only two-step mission fixture,Submit OP-0052; run mission; open report,Mission executes steps and final report answers goal with real results,Task/progress/report state; semantic rubric twice; false-success scan,Retain mission evidence; no host mutation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0052
FUNC-0053,G03,Mono-perf absence of internal output leak,gemma4-mono-perf,GUI/Dialog,TRUE,P0,TRUE,3,critical_repeat,Owned mono-perf stack ready,Submit OP-0053 ordinary prose request; inspect transport and DOM,"No raw tool call, event, role, schema, JSON envelope or internal instruction fragment",Known-marker scan; envelope detector; rendered/transport comparison,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0053
FUNC-0054,G04,Mono-perf conversation isolation,gemma4-mono-perf,GUI/two dialog windows,TRUE,P0,TRUE,3,critical_repeat,Two conversations with unique markers,Interleave OP-0054 turns; reload both,No marker or temporary instruction crosses conversations,Marker matrix; conversation/message ID checks,Delete both conversations,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0054
FUNC-0055,G02,Mono-perf profile model and diagnostics truth,gemma4-mono-perf,GUI/System Models Resources,TRUE,P0,TRUE,3,critical_repeat,Mono-perf dispatcher ready; identities captured independently,Open panels; submit OP-0055,UI and answer identify mono-perf and real 31B model; telemetry is current,Launcher/config/container/provider/API/UI equality,Read-only; no cleanup,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0055
FUNC-0056,G07,Mono-perf web result or honest unavailability,gemma4-mono-perf,GUI/Dialog and Internet,TRUE,P1,FALSE,2,ordinary_repeat,Connectivity state recorded,Submit OP-0056,Returns synthesized cited result or precise environment blocker; never bare-link handoff,Citation/reachability or blocker rubric; marker scan,Delete conversation; close campaign browser session,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0056
FUNC-0057,G03,Mono direct answer,gemma4-mono,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned mono stack ready; bounded prompt,Submit OP-0057,Complete useful Russian answer within bounded token budget,Semantic rubric twice; language and marker scan,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0057
FUNC-0058,G03,Mono strict format,gemma4-mono,GUI/Dialog,TRUE,P1,FALSE,2,ordinary_repeat,Owned mono stack ready,Submit OP-0058,Exactly three requested table rows and requested columns,Markdown table parser; row/column count,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0058
FUNC-0059,G04,Mono multi-turn constraints,gemma4-mono,GUI/Dialog multi-turn,TRUE,P0,TRUE,3,critical_repeat,Owned mono stack; new conversation,Run setup and OP-0059 follow-up,Resolves prior reference and retains unchanged constraints,Reference and constraint matrix; semantic rubric twice,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0059
FUNC-0060,G03,Mono stream integrity,gemma4-mono,GUI/Dialog stream,TRUE,P0,TRUE,3,critical_repeat,Owned mono stack ready,Submit OP-0060; capture NDJSON and rendered final,One coherent non-truncated final; no duplicate terminal or internal chunks,Stream reconstruction; terminal-count; marker scan,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0060
FUNC-0061,G05,Mono ordinary safe tool,gemma4-mono,GUI/Dialog and tool record,TRUE,P1,FALSE,2,ordinary_repeat,Read-only status tool available,Submit OP-0061,Only necessary safe tool runs and final describes actual state,Tool/audit record; state comparison; marker scan,Read-only; delete conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0061
FUNC-0062,G06,Mono document fact,gemma4-mono,GUI/Dialog attachment,TRUE,P1,FALSE,2,ordinary_repeat,Small synthetic document with unique marker prepared,Upload; submit OP-0062,Exact requested fact and source filename are returned,Exact marker and filename validator,Retain namespaced upload; delete conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0062
FUNC-0063,G12,Mono failure and recovery,gemma4-mono,GUI/Dialog error and retry,TRUE,P0,TRUE,3,critical_repeat,Reversible unsupported-file or tool-unavailable fixture,Submit OP-0063 failing request; restore capability; retry,First error is honest/actionable; retry succeeds with no stale success or partial output,Error rubric; output diff; retry integrity,Restore fixture; delete conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0063
FUNC-0064,G08,Mono mission final result,gemma4-mono,GUI/Missions,TRUE,P0,TRUE,3,critical_repeat,Small read-only two-step mission fixture,Submit OP-0064; run mission; open report,Mission executes steps and final report answers goal with real results,Task/progress/report state; semantic rubric twice; false-success scan,Retain mission evidence; no host mutation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0064
