scenario_id,group_id,title,profile,surface,critical,operator_case_id,status,evidence_refs,finding_ids,notes
FUNC-0014,G04,Ссылка местоимением это,gemma4-turbo,GUI/Dialog multi-turn,FALSE,OP-0014,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-004,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0015,G04,Ссылка второй вариант,gemma4-turbo,GUI/Dialog multi-turn,FALSE,OP-0015,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0016,G06,Ссылка тот файл,gemma4-turbo,GUI/Dialog with attachment,FALSE,OP-0016,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-004;FUNC-FIND-007,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0017,G04,Изменение одного ограничения,gemma4-turbo,GUI/Dialog multi-turn,TRUE,OP-0017,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0018,G04,Исправление предыдущего ответа,gemma4-turbo,GUI/Dialog multi-turn,FALSE,OP-0018,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0019,G04,Возврат к исходной цели после follow-up,gemma4-turbo,GUI/Dialog long multi-turn,FALSE,OP-0019,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0020,G04,Две параллельные conversations,gemma4-turbo,GUI/Dialog windows,TRUE,OP-0020,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0021,G04,Новая conversation без старых временных инструкций,gemma4-turbo,GUI/Dialog windows,TRUE,OP-0021,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0022,G03,Однозначная задача без уточнения,gemma4-turbo,GUI/Dialog,FALSE,OP-0022,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0023,G03,Реальная неоднозначность и один вопрос,gemma4-turbo,GUI/Dialog multi-turn,FALSE,OP-0023,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-005,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0024,G03,Безопасный default с assumption,gemma4-turbo,GUI/Dialog,FALSE,OP-0024,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-002,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0025,G06,Загрузить и пересказать synthetic document,gemma4-turbo,GUI/Dialog attachment,TRUE,OP-0025,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0026,G06,Найти факт в документе,gemma4-turbo,GUI/Dialog attachment,FALSE,OP-0026,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-007,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0027,G06,Сравнить два документа,gemma4-turbo,GUI/Dialog attachments,FALSE,OP-0027,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0028,G06,Извлечь таблицу и структуру,gemma4-turbo,GUI/Dialog attachment,FALSE,OP-0028,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0029,G06,Создать новый artifact,gemma4-turbo,GUI/Dialog and artifact,TRUE,OP-0029,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-003;FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0030,G06,Изменить только копию,gemma4-turbo,GUI/Dialog and artifact,TRUE,OP-0030,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-003;FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0031,G06,Преобразовать формат,gemma4-turbo,GUI/Dialog and artifact,FALSE,OP-0031,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-003,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0032,G06,Повторно обратиться к ранее загруженному файлу,gemma4-turbo,GUI/Dialog history,FALSE,OP-0032,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-004;FUNC-FIND-007,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0033,G06,Повреждённый или unsupported файл,gemma4-turbo,GUI/Dialog attachment error,TRUE,OP-0033,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-008,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0034,G06,Concurrent generation без перезаписи,gemma4-turbo,GUI/two dialog windows and artifacts,TRUE,OP-0034,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-003;FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0035,G02,Status profile model truth,gemma4-turbo,GUI/System and Models,TRUE,OP-0035,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0036,G10,Диагностика read-only и benchmark,gemma4-turbo,GUI/Diagnostics and Resources,FALSE,OP-0036,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0037,G05,Безопасное действие и точный approval,gemma4-turbo,GUI/Dialog and Approvals,TRUE,OP-0037,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-009,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0038,G07,Web synthesis с citations,gemma4-turbo,GUI/Dialog and Internet,TRUE,OP-0038,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-010,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0039,G08,Mission plan execution progress final report,gemma4-turbo,GUI/Missions,TRUE,OP-0039,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-007,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0040,G12,GUI stream interrupt reconnect и stale-success,gemma4-turbo,GUI/Dialog panels and trace,TRUE,OP-0040,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-011,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0041,G09,Namespaced memory persona learning,gemma4-turbo,GUI/Memory and Dialog,FALSE,OP-0041,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-012,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0042,G11,Autonomy routine self-heal safe mode,gemma4-turbo,GUI/Diagnostics and autonomy panels,TRUE,OP-0042,PASS,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0043,G13,Offline local core и network recovery,gemma4-turbo,GUI/Dialog and Internet,TRUE,OP-0043,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0044,G01,Startup restart и GUI status truth,gemma4-turbo,Launcher plus GUI/System,TRUE,OP-0044,FAIL,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-006,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0045,G03,Mono-perf direct answer,gemma4-mono-perf,GUI/Dialog,FALSE,OP-0045,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0046,G03,Mono-perf strict format,gemma4-mono-perf,GUI/Dialog,FALSE,OP-0046,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0047,G04,Mono-perf multi-turn constraints,gemma4-mono-perf,GUI/Dialog multi-turn,TRUE,OP-0047,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0048,G03,Mono-perf stream integrity,gemma4-mono-perf,GUI/Dialog stream,TRUE,OP-0048,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0049,G05,Mono-perf ordinary safe tool,gemma4-mono-perf,GUI/Dialog and tool record,FALSE,OP-0049,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0050,G06,Mono-perf document fact,gemma4-mono-perf,GUI/Dialog attachment,FALSE,OP-0050,FAIL,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,FUNC-FIND-007;FUNC-FIND-013,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0051,G12,Mono-perf failure and recovery,gemma4-mono-perf,GUI/Dialog error and retry,TRUE,OP-0051,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0052,G08,Mono-perf mission final result,gemma4-mono-perf,GUI/Missions,TRUE,OP-0052,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0053,G03,Mono-perf absence of internal output leak,gemma4-mono-perf,GUI/Dialog,TRUE,OP-0053,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0054,G04,Mono-perf conversation isolation,gemma4-mono-perf,GUI/two dialog windows,TRUE,OP-0054,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0055,G02,Mono-perf profile model and diagnostics truth,gemma4-mono-perf,GUI/System Models Resources,TRUE,OP-0055,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0056,G07,Mono-perf web result or honest unavailability,gemma4-mono-perf,GUI/Dialog and Internet,FALSE,OP-0056,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0057,G03,Mono direct answer,gemma4-mono,GUI/Dialog,FALSE,OP-0057,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0058,G03,Mono strict format,gemma4-mono,GUI/Dialog,FALSE,OP-0058,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0059,G04,Mono multi-turn constraints,gemma4-mono,GUI/Dialog multi-turn,TRUE,OP-0059,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0060,G03,Mono stream integrity,gemma4-mono,GUI/Dialog stream,TRUE,OP-0060,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0061,G05,Mono ordinary safe tool,gemma4-mono,GUI/Dialog and tool record,FALSE,OP-0061,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0062,G06,Mono document fact,gemma4-mono,GUI/Dialog attachment,FALSE,OP-0062,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0063,G12,Mono failure and recovery,gemma4-mono,GUI/Dialog error and retry,TRUE,OP-0063,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0064,G08,Mono mission final result,gemma4-mono,GUI/Missions,TRUE,OP-0064,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0065,G03,Mono absence of internal output leak,gemma4-mono,GUI/Dialog,TRUE,OP-0065,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0066,G04,Mono conversation isolation,gemma4-mono,GUI/two dialog windows,TRUE,OP-0066,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0067,G02,Mono profile model and diagnostics truth,gemma4-mono,GUI/System Models Resources,TRUE,OP-0067,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0068,G07,Mono web result or honest unavailability,gemma4-mono,GUI/Dialog and Internet,FALSE,OP-0068,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,,Aggregated from all required repeats; any repeat failure dominates the scenario status.
FUNC-0069,G01,Launcher cold start,all_active,Launcher/process/API,TRUE,,FAIL,evidence/isolated-launch-turbo-process-v2.json;evidence/mono-startup-timeout-20m.json;evidence/mono-ready-after-27m.json,FUNC-FIND-013,Turbo reached ready; mono crossed the bounded 20-minute deadline and became usable only after extended two-stage autotuning.
FUNC-0070,G01,Launcher warm and repeated start,all_active,Launcher/process/API,FALSE,,FAIL,evidence/startup-gemma4-turbo-warm.json;evidence/startup-gemma4-turbo-warm-r2.json;evidence/startup-gemma4-turbo-warm-r3.json,FUNC-FIND-014,Three repeated starts exited nonzero with an executive-state lease error instead of an idempotent running result.
FUNC-0071,G01,Stop restart and ownership,all_active,Launcher/process/API,TRUE,,INCONCLUSIVE,evidence/stop-default-stack.json;evidence/status-turbo-final.json;evidence/stop-before-startup-faults.json;evidence/startup-fault-fixtures.json,,Owned stop/restart and cleanup worked; a deliberately unowned but compatible dispatcher reuse fixture was not run.
FUNC-0072,G01,Partial stack occupied port interrupted startup,gemma4-turbo,Launcher/process,FALSE,,PASS,evidence/startup-fault-fixtures.json,,Owned port holder survived rejection; interrupted launcher was terminated by owned PID tree and standard cleanup closed all four ports.
FUNC-0073,G02,Unknown profile and malformed config,all_active,Launcher/CLI/config,FALSE,,BLOCKED_BY_SPEC,evidence/startup-unknown-profile.json,,Unknown profile rejection is actionable; no user-supplied runtime config surface exists for a separate malformed-config fixture.
FUNC-0074,G01,Full doctor smoke,gemma4-turbo,doctor.ps1/smoke.py,FALSE,,FAIL,evidence/doctor-full-final-sanitized-v2.json;evidence/doctor-failure-targeted-clean-env.json,FUNC-FIND-016;FUNC-FIND-017,"Full doctor had 816 passed, 13 skipped, 1 failed, yet the launcher returned zero; targeted clean-env rerun passed."
FUNC-0075,G12,REST normal and validation-error contract,all_active,Backend REST API,FALSE,,INCONCLUSIVE,evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv;evidence/technical-mono-ready.json,,Authoritative turbo REST contract passed; equivalent steady-state model-backed validation was not completed for both degraded mono profiles.
FUNC-0076,G03,API stream interrupt cancel retry,all_active,POST /api/chat/stream,TRUE,,INCONCLUSIVE,evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv;evidence/gui_operator_runs.jsonl,FUNC-FIND-011,"Normal NDJSON and retry paths passed, but true transport cancellation/late-terminal behavior remained incomplete."
FUNC-0077,G04,WebSocket reconnect and cross-session isolation,all_active,/ws/events plus GUI,TRUE,,INCONCLUSIVE,evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv;evidence/gui_operator_runs.jsonl,,One WebSocket event and hostile-origin denial passed; two-session reconnect interleaving was not fully exercised.
FUNC-0078,G02,End-to-end profile model mapping,all_active,Launcher/config/container/provider/API/GUI,TRUE,,FAIL,evidence/mono-perf-direct-model-probes.json;evidence/mono-direct-model-probes-ready.json;evidence/gui_operator_runs.jsonl,FUNC-FIND-013,"Configured identities matched, but both 31B profiles generated repeated 'cyclic' output and GUI paths timed out or fell back."
FUNC-0079,G13,Offline-ready startup and recovery,gemma4-turbo,Network fixture/launcher/API/GUI,TRUE,,BLOCKED_BY_ENV,evidence/gui_operator_runs.jsonl,,Loopback-refused recovery surrogate passed; scoped external-link isolation was unavailable without unsafe global network mutation.
FUNC-0080,G08,Persistence backup restart lock and restore on copy,gemma4-turbo,Copied state/API/GUI,FALSE,,INCONCLUSIVE,evidence/technical-during-mono-startup.json;evidence/technical-mono-ready.json,,"Backup, integrity, restored-copy equality, DB lock, read-only, and temp failure probes passed; pending mission restart/idempotency remained incomplete."
FUNC-0081,G14,CLI read-only command matrix,all_active,jarvis.py CLI,FALSE,,INCONCLUSIVE,evidence/technical-during-mono-startup.json;evidence/technical-mono-ready.json;evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv,,Two 15/16 read-oriented matrices passed with diag correctly lease-guarded; exact host-bridge/file-search coverage across all profiles was incomplete.
FUNC-0082,G05,CLI guarded mutation and error matrix,gemma4-turbo,jarvis.py CLI,FALSE,,PASS,evidence/guarded-cli-matrix.json,,"Four mutation commands were rejected by the API ownership lease and persona, approvals, policy, and filesystem state stayed unchanged."
FUNC-0083,G10,Startup latency throughput and resource release,all_active,Launcher/API/GUI/telemetry,FALSE,,FAIL,evidence/mono-perf-direct-model-probes.json;evidence/mono-direct-model-probes-ready.json;evidence/mono-startup-timeout-20m.json;evidence/bounded-soak-turbo.json,FUNC-FIND-013,Turbo remained interactive; mono startup and 0.1-0.4 tok/s generation were practically unusable and both 31B profiles emitted degenerate output.
FUNC-0084,G10,Bounded long-run conversation mission soak,gemma4-turbo,GUI/API/telemetry,FALSE,,INCONCLUSIVE,evidence/bounded-soak-turbo.json;evidence/gui_operator_runs.jsonl,FUNC-FIND-007,"120-second watchdog soak produced 19/19 healthy samples and 4/4 chats, but a successful long-running mission could not be demonstrated."
FUNC-0085,G12,Frontend freshness service worker resize keyboard zoom,gemma4-turbo,Production Command Center,FALSE,,FAIL,evidence/gui-stale-state-after-home-switch.json;evidence/backend-conversations-after-home-switch-v2.json;evidence/frontend-freshness.json;evidence/gui-final-keyboard-focus.json;evidence/gui-resize-zoom.json,FUNC-FIND-015,"Fresh assets and keyboard submit passed, but the GUI retained an old transcript when the backend home changed and reported zero conversations."
FUNC-0086,G01,Final cleanup ownership and normal smoke,gemma4-turbo,Launcher/process/container/API/GUI,TRUE,,PASS,evidence/final-normal-start.json;evidence/final-normal-smoke.json;evidence/final-normal-gui-smoke.json;evidence/final-cleanup.json;evidence/final-cleanup-inventory-v2.json;evidence/final-machine-baseline-restored.json,,"Post-fault standard start, API/UI smoke, standard stop, final owned process/port inventory, and restoration of the initial offline Docker/WSL baseline all completed."
