feature_id,group_id,group_name,public_surface,feature,ordinary_user_journey,profiles,scenario_ids,operator_case_ids,priority,documented_gap,status
FUNC-FEATURE-023,G06,files/documents,Concurrent document output,Collision resistance,Generate the same requested basename concurrently and preserve both outputs,gemma4-turbo,FUNC-0034,OP-0034,P0,,FAIL
FUNC-FEATURE-024,G07,web/browser,Chat web answer,Synthesis with provenance,"Ask a current public question; receive synthesis, citations and live/cached indication",all_active,FUNC-0038;FUNC-0056;FUNC-0068,OP-0038;OP-0056;OP-0068,P0,Requires external connectivity; otherwise expect BLOCKED_BY_ENV with honest recovery text,FAIL
FUNC-FEATURE-025,G07,web/browser,Tools and Internet panel,Public fetch and smoke,Fetch an allowlisted public URL and show bounded result rather than a handoff,all_active,FUNC-0038;FUNC-0049;FUNC-0061,OP-0038;OP-0049;OP-0061,P1,,FAIL
FUNC-FEATURE-026,G07,web/browser,Browser policy/handoff,Browser only when needed,Verify browser action is absent for ordinary chat and result is returned after explicit browser use,gemma4-turbo,FUNC-0038,OP-0038,P1,Interactive sites requiring credentials are out of scope,FAIL
FUNC-FEATURE-027,G08,missions/planning/final report,Command Center Missions,Plan and execute,Create a read-only compound mission; execute dependency-ready steps; show truthful progress,all_active,FUNC-0039;FUNC-0052;FUNC-0064,OP-0039;OP-0052;OP-0064,P0,,FAIL
FUNC-FEATURE-028,G08,missions/planning/final report,Mission report,Final deliverable,Verify final report answers the original goal and references real deliverables,all_active,FUNC-0039;FUNC-0052;FUNC-0064,OP-0039;OP-0052;OP-0064,P0,,FAIL
FUNC-FEATURE-029,G08,missions/planning/final report,Mission persistence,Blocked and resume,Interrupt or block a copied-state mission; restart; resume without false completion,gemma4-turbo,FUNC-0080,,P0,Requires copied/generated state and proven service ownership,INCONCLUSIVE
FUNC-FEATURE-030,G09,memory/persona/learning,Memory panel,Namespaced memory,Store a unique campaign memory and retrieve it by paraphrase,gemma4-turbo,FUNC-0041,OP-0041,P1,Memory delete API is absent; campaign namespace is retained intentionally,INCONCLUSIVE
FUNC-FEATURE-031,G09,memory/persona/learning,Persona/preferences,Persona-aware answer,Use an isolated reversible persona fact; verify use; restore original snapshot,gemma4-turbo,FUNC-0041,OP-0041,P1,Mutation requires snapshot and verified restore,INCONCLUSIVE
FUNC-FEATURE-032,G09,memory/persona/learning,Learning tick and quality,Learning visibility,Run bounded learning on campaign records and verify deduplication and honest counts,gemma4-turbo,FUNC-0041,OP-0041,P2,Global learning run is blocked unless campaign records can be isolated,INCONCLUSIVE
FUNC-FEATURE-033,G10,diagnostics/telemetry/benchmark,Diagnostics and Resources panels,Diagnostics and telemetry,Run diagnostics; compare CPU/RAM/GPU/dispatcher values with API truth,all_active,FUNC-0036;FUNC-0055;FUNC-0067;FUNC-0083,OP-0036;OP-0055;OP-0067,P0,,FAIL
FUNC-FEATURE-034,G10,diagnostics/telemetry/benchmark,Benchmark panel,Bounded benchmark,Run benchmark and verify measured values and resource-guard recommendation,gemma4-turbo,FUNC-0036;FUNC-0083,OP-0036,P1,,FAIL
FUNC-FEATURE-035,G10,diagnostics/telemetry/benchmark,Runtime backup,Consistent backup,Create a campaign backup and verify it without replacing live state,gemma4-turbo,FUNC-0080,,P1,Restore is allowed only against a copied state root,INCONCLUSIVE
FUNC-FEATURE-036,G11,autonomy/routines/self-heal,Autonomy panel,Safe policy and job,Run diagnostics/self-heal routine in safe mode and verify no silent host mutation,gemma4-turbo,FUNC-0042,OP-0042,P0,,PASS
FUNC-FEATURE-037,G11,autonomy/routines/self-heal,Routines panel,Reusable routine,Run a bounded diagnostics or briefing routine and inspect actual results,gemma4-turbo,FUNC-0042,OP-0042,P1,,PASS
FUNC-FEATURE-038,G11,autonomy/routines/self-heal,Self-heal,Proposal-only recovery,Receive safe suggestions or an approval gate; never an unannounced mutation,gemma4-turbo,FUNC-0042,OP-0042,P0,,PASS
FUNC-FEATURE-039,G12,Command Center panels/errors/recovery,Eight main panels and six dialog tabs,Panel navigation,"Navigate all panels; verify labels, loading, empty and error states",gemma4-turbo,FUNC-0040;FUNC-0085,OP-0040,P0,,FAIL
FUNC-FEATURE-040,G12,Command Center panels/errors/recovery,Dialog and status UI,Disconnect and reconnect,Interrupt stream or backend; reconnect; show one truthful final and no stale success,all_active,FUNC-0040;FUNC-0048;FUNC-0051;FUNC-0060;FUNC-0063;FUNC-0076;FUNC-0077,OP-0040;OP-0048;OP-0051;OP-0060;OP-0063,P0,,FAIL
FUNC-FEATURE-041,G12,Command Center panels/errors/recovery,Service worker and production frontend,Offline shell and freshness,"Load shell, restart backend, reload and verify current build plus actionable errors",gemma4-turbo,FUNC-0085,,P1,,FAIL
FUNC-FEATURE-042,G13,offline-ready operation,Local core GUI,Offline local answer,"After reversible external-network isolation, use local chat/history/status without downloads",gemma4-turbo,FUNC-0043;FUNC-0079,OP-0043,P0,Requires a reversible network fixture that preserves loopback,INCONCLUSIVE
FUNC-FEATURE-043,G13,offline-ready operation,Web error and recovery,Network-specific degradation,Observe honest web failure; restore network; retry successfully without restarting core,gemma4-turbo,FUNC-0043;FUNC-0079,OP-0043,P0,,INCONCLUSIVE
FUNC-FEATURE-044,G14,CLI public commands,jarvis.py core CLI,Read-only command matrix,Run profiles/status/models/tools/health/telemetry/persona/files/audit outputs and validate JSON,all_active,FUNC-0081,,P1,,INCONCLUSIVE
FUNC-FEATURE-045,G14,CLI public commands,jarvis.py dispatcher and serve CLI,Service commands,Validate dispatcher status/compose and owned up/down/serve behavior,all_active,FUNC-0078;FUNC-0082,,P0,Mutating commands require owned process/container fixtures,FAIL
FUNC-FEATURE-046,G14,CLI public commands,jarvis.py approvals/tools/missions CLI,Guarded operations,Exercise harmless approval/tool/mission paths and error codes in campaign namespace,gemma4-turbo,FUNC-0082,,P1,,PASS
FUNC-FEATURE-047,G14,CLI public commands,jarvis.py ingest/persona/learning/backup CLI,Persistent operations,Use copied or namespaced state; verify output and cleanup/restore,gemma4-turbo,FUNC-0080;FUNC-0082,,P1,No destructive live-state mutation without snapshot and restore proof,INCONCLUSIVE
