operator_case_id,scenario_id,group_id,profile,title,request_template,follow_up_template,expected_result,constraints,forbidden_output,deterministic_validators,semantic_review_passes,rubric_dimensions,critical,repeat_count,status,evidence_path
OP-0012,FUNC-0012,G03,gemma4-turbo,Русский на mixed-language source,"Источник: The service retries twice after timeout, затем сохраняет error state и ждёт ручного запуска. Объясни поведение полностью по-русски.",,Русское точное объяснение обоих действий,Русский; identifiers допустимы без перевода,Ответ преимущественно на английском; internal markers,Language classifier; source fact checklist,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0013,FUNC-0013,G06,gemma4-turbo,Точный artifact,Создай UTF-8 Markdown-файл D:\\jarvis\\data\\jarvis-gpt\\document-outputs\\functional-20260713\\OP-0013-{repeat}.md с заголовком Проверка и строкой marker=OP-0013-{repeat}. Не создавай другие файлы.,,Точный существующий файл с точным содержимым и реальным путём в ответе,Только указанный path/type/content; без overwrite чужого файла,Ложное готово; иной path; лишний artifact; raw tool output,Existence; UTF-8 decode; exact content; output-dir diff,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0014,FUNC-0014,G04,gemma4-turbo,Местоимение это,"Первый ход: предложи короткое имя для локального помощника и объясни выбор. Второй ход: Сделай это имя более техническим, сохранив длину до 8 символов.","Сделай это имя более техническим, сохранив длину до 8 символов.",Изменено именно ранее предложенное имя,До 8 символов; технический оттенок; русский комментарий,Потеря референта; лишнее уточнение; internal output,Reference linkage; length check; question count,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0015,FUNC-0015,G04,gemma4-turbo,Второй вариант,"Первый ход: предложи три способа хранить локальные заметки, пронумеруй их. Второй ход: Раскрой только второй вариант в двух предложениях.",Раскрой только второй вариант в двух предложениях.,Раскрыт второй из исходных вариантов,Только вариант 2; ровно два предложения,Пересказ вариантов 1 или 3; лишний вопрос,Option identity; sentence count; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0016,FUNC-0016,G06,gemma4-turbo,Тот файл,После загрузки synthetic файла спроси его ключевой marker. Затем: В том файле назови значение поля owner и больше ничего.,В том файле назови значение поля owner и больше ничего.,Возвращено точное owner из текущего файла,Только значение owner; без обращения к другому файлу,Wrong-file fact; invented owner; raw retrieval output,Attachment/source ID; exact owner value,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0017,FUNC-0017,G04,gemma4-turbo,Изменить одно ограничение,"Первый ход: дай три пункта на русском, каждый не длиннее шести слов, без эмодзи. Второй ход: Теперь сделай четыре пункта; остальные ограничения сохрани.",Теперь сделай четыре пункта; остальные ограничения сохрани.,Четыре русских коротких пункта без эмодзи,Изменяется только count 3→4,Потеря языка/длины/no-emoji; internal markers,Item count; word count; language; emoji scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,PASS,evidence/gui_operator_runs.jsonl
OP-0018,FUNC-0018,G04,gemma4-turbo,Исправить ответ,"После ответа с намеренно неверной суммой 19+24 попроси: Исправь только арифметическую ошибку, остальной формат сохрани.","Исправь только арифметическую ошибку, остальной формат сохрани.",Сумма исправлена на 43; формат не изменён,Только одна правка,Защита ошибки; новый формат; служебные данные,Exact arithmetic; structural diff,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0019,FUNC-0019,G04,gemma4-turbo,Возврат к исходной цели,Начни с цели: составить краткий план безопасного обновления локального сервиса без простоя. После шести коротких уточняющих follow-up заверши: Вернись к исходной цели и дай итоговый план с учётом всех моих ответов.,Вернись к исходной цели и дай итоговый план с учётом всех моих ответов.,Итог отвечает исходной цели и учитывает follow-up,Русский; краткий план; все подтверждённые ограничения,Контекст посторонней темы; потеря исходной цели,Constraint ledger; goal coverage; semantic review twice,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0020,FUNC-0020,G04,gemma4-turbo,Параллельные conversations,Окно A: запомни только для этого диалога marker ALPHA-{repeat} и отвечай списком. Окно B: запомни только для этого диалога marker BETA-{repeat} и отвечай одним предложением. Затем в каждом спроси свой marker и формат.,Какой marker и формат действуют в этом диалоге?,Каждое окно возвращает только свой marker и формат,Никакого cross-session переноса,Чужой marker; чужой формат; internal session IDs,Cross-marker matrix; conversation/message IDs; format check,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,PASS,evidence/gui_operator_runs.jsonl
OP-0021,FUNC-0021,G04,gemma4-turbo,Новая conversation чистая,В старом окне установи временное правило: каждый ответ начинать TEMP-{repeat}. В новом окне спроси обычный вопрос: сколько дней в неделе?,Сколько дней в неделе? Ответь кратко.,Новый ответ сообщает 7 и не содержит TEMP marker,Новая conversation не наследует временные инструкции,TEMP-{repeat}; чужой context; service markers,Negative marker scan; expected fact; conversation IDs,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,PASS,evidence/gui_operator_runs.jsonl
OP-0022,FUNC-0022,G03,gemma4-turbo,Без лишнего уточнения,Преобразуй 2 часа 30 минут в минуты и дай только число.,,150 без вопроса,Только число; задача однозначна,Clarification question; prose; JSON,Exact output; question count,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0023,FUNC-0023,G03,gemma4-turbo,Одно точное уточнение,Подготовь файл отчёта в выбранном мной формате.,"После единственного вопроса ответить: Markdown, имя ambiguity-{repeat}.md, каталог campaign outputs.",Один вопрос объединяет недостающие format/name/path; после ответа файл создаётся,Не более одного вопроса; затем завершить исходную задачу,Серия вопросов; догадка до ответа; ложный artifact,Question count; path/existence/content; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0024,FUNC-0024,G03,gemma4-turbo,Безопасный default,"Составь короткий список проверки текстового файла перед отправкой. Если кодировка не указана, используй безопасное очевидное допущение и назови его.",,Использует UTF-8 как явно названное безопасное допущение и даёт список,Кратко; без уточняющего вопроса,Лишний вопрос; необъявленное assumption; raw output,Assumption mention; list presence; question count,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0025,FUNC-0025,G06,gemma4-turbo,Загрузить и пересказать,Перескажи приложенный файл synthetic-summary-{repeat}.txt в трёх пунктах и назови файл-источник.,,Три grounded пункта и точное имя источника,Только данные файла; русский,Придуманные факты; wrong filename; raw chunks,Exact fact checklist; filename; item count,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0026,FUNC-0026,G06,gemma4-turbo,Найти факт,В приложенном файле synthetic-fact-{repeat}.txt найди значение поля audit_marker и верни только его.,,Точное уникальное значение audit_marker,Только значение; без объяснения,Invented value; wrong source; retrieval envelope,Exact marker; source ID; output equality,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0027,FUNC-0027,G06,gemma4-turbo,Сравнить документы,"Сравни приложенные alpha-{repeat}.txt и beta-{repeat}.txt только по owner, version и enabled. Дай таблицу и строку вывода.",,Точная атрибуция трёх полей обоим файлам и полезный вывод,Только три измерения,Смешение источников; выдуманные поля; raw chunks,Controlled field matrix; filename attribution; table parser,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,PASS,evidence/gui_operator_runs.jsonl
OP-0028,FUNC-0028,G06,gemma4-turbo,Извлечь структуру,"Из приложенного structured-{repeat}.md извлеки иерархию заголовков и таблицу параметров. Верни сначала дерево заголовков, затем Markdown-таблицу.",,Точное дерево и точная таблица в заданном порядке,Не добавлять отсутствующие разделы/строки,Hallucinated structure; wrong order; internal document object,Heading tree and table cell validator,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0029,FUNC-0029,G06,gemma4-turbo,Создать artifact,Создай новый Markdown-отчёт functional-report-{repeat}.md в campaign output root. В нём должны быть заголовок Итог и marker OP-0029-{repeat}. Верни точный путь.,,Уникальный непустой artifact существует и путь точен,Не перезаписывать существующее; один output,False success; nonexistent path; extra artifact; raw tool call,Existence; unique path; exact content; directory diff,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0030,FUNC-0030,G06,gemma4-turbo,Изменить только копию,В source-copy-{repeat}.docx замени строку STATUS_OLD на STATUS_NEW только в новой копии. Оригинал не меняй. Верни оба пути.,,Original hash unchanged; copied document has one replacement,Copy-on-write; одна замена,Overwrite original; multiple changes; false path,Pre/post source hash; output parse; controlled diff,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0031,FUNC-0031,G06,gemma4-turbo,Преобразовать формат,"Преобразуй приложенный convert-{repeat}.md в DOCX-копию, сохрани заголовок и таблицу, оригинал не меняй. Верни путь к DOCX.",,DOCX открывается и содержит controlled heading/table; source unchanged,Copy only; DOCX; no extra edits,Wrong type; corrupt output; source overwrite; false success,File signature; DOCX parse; source hash; content matrix,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0032,FUNC-0032,G06,gemma4-turbo,Recall ранее загруженного файла,"В новом диалоге найди ранее загруженный campaign-recall-{repeat}.txt и скажи, какое значение указано у ключа retention_code.",,Persisted source resolved by filename/content and exact code returned,Новый диалог; без повторной загрузки,Wrong file; invented code; vague handoff,File/source ID; exact retention_code; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0033,FUNC-0033,G06,gemma4-turbo,Повреждённый файл,Прочитай приложенный corrupt-{repeat}.pdf и кратко сообщи его ключевой вывод.,,Понятная ошибка о повреждённом/нечитаемом PDF и возможное следующее действие,Не считать partial extraction полным результатом,Traceback; false success; partial artifact; raw parser error,Error rubric; output directory diff; traceback/marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0034,FUNC-0034,G06,gemma4-turbo,Concurrent output collision,"Одновременно в двух диалогах: создай report.md с marker OP-0034-A-{repeat} или OP-0034-B-{repeat} в campaign output root, не перезаписывая существующий файл.",,Оба существующих outputs уникальны и содержат собственный marker,Concurrency; no overwrite; no cross-session mix,Lost output; overwrite; same path claim; mixed marker,Artifact count; unique names; hashes; marker matrix,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0035,FUNC-0035,G02,gemma4-turbo,Profile/model truth,"Какой профиль и какая модель сейчас реально загружены? Проверь доступное состояние и ответь кратко, не угадывай.",,Ответ совпадает с launcher/config/container/provider/API/UI,Честно отделить profile от model identity,Guess; stale profile; raw env dump; secrets,Five-layer exact equality; secret scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0036,FUNC-0036,G10,gemma4-turbo,Диагностика и benchmark,"Запусти обычную диагностику и безопасный ограниченный benchmark. Дай сначала общий итог, затем только реальные проблемные проверки и измеренные задержки.",,Measured result with truthful healthy/degraded distinction,Read-only diagnostics; bounded benchmark; no invented values,Unmeasured numbers; false healthy; raw traceback/env,API/UI result equality; state diff; latency fields; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0037,FUNC-0037,G05,gemma4-turbo,Exact approval,"Создай каталог D:\\jarvis\\data\\jarvis-gpt\\functional-fixtures\\approval-{repeat} через штатный безопасный механизм. Если нужен допуск, запроси его; после моего одобрения выполни только это действие один раз.",Одобряю только создание указанного каталога.,Exactly one bound mkdir occurs after approval and final matches state,No other host mutation; one-shot approval; exact path,Approval bypass; argument drift; replay success; false success,Approval payload/action equality; filesystem postcondition; audit count; replay rejection,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0038,FUNC-0038,G07,gemma4-turbo,Web synthesis,"Найди на публичных источниках текущую стабильную версию Python и кратко объясни, чем она отличается от предыдущей minor-ветки. Дай вывод и ссылки на источники; отметь, данные live, cached или stale.",,Grounded concise synthesis with reachable citations and freshness label,Public web only; no bare-link list; no browser handoff,Invented version; uncited claims; look-in-tab handoff; raw page content,Reachable URLs; claim/source matrix; freshness label; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0039,FUNC-0039,G08,gemma4-turbo,Mission final,"Создай и выполни read-only mission: сравни содержимое двух приложенных synthetic конфигураций, найди три различия и создай итоговый Markdown-отчёт с marker OP-0039-{repeat}. Покажи progress и после завершения дай final report с реальным путём.",,Mission actually runs; progress truthful; report exists and contains exact differences,Read-only inputs; unique output; no false completion,Plan-only result; blocked marked complete; missing artifact; raw task state,Mission/task/event state; report existence/hash/content; progress monotonicity,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0040,FUNC-0040,G12,gemma4-turbo,Stream interrupt/reconnect,Сформируй десять коротких пунктов о безопасном восстановлении сервиса. Во время ответа campaign прервёт соединение и затем выполнит штатный retry.,После reconnect: Продолжи штатно или честно сообщи состояние прерванного ответа; не дублируй готовые части.,One coherent terminal final or honest interruption; GUI and trace agree,No duplicate/truncated final; no stale success,Transport chunks; duplicate final; partial claimed complete; traceback,NDJSON reconstruction; DOM terminal count; trace/message IDs; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0041,FUNC-0041,G09,gemma4-turbo,Memory persona learning,"Запомни в namespace audit.functional.20260713 marker MEMORY-{repeat} и факт: любимый тестовый цвет — ультрамарин. Затем в новом запросе по смыслу спроси цвет; используй временный persona marker PERSONA-{repeat}, после проверки верни профиль как был.",Какой цвет я выбрал для этого функционального теста?,Namespaced fact recalled by meaning; temporary persona influences only test and is restored,Campaign namespace; reversible persona; truthful learning counts,Cross-namespace fact; persona not restored; invented learning result,Memory namespace/marker; persona snapshot equality; event counts,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0042,FUNC-0042,G11,gemma4-turbo,Autonomy and self-heal safe,В безопасном режиме запусти routine диагностики и self-heal-анализ. Покажи реальные проблемы и предложения; ничего на host не меняй без отдельного допуска.,,Measured routine result and proposal-only self-heal or explicit approval gate,Safe mode; no silent host mutation,Unapproved mutation; invented fix; false healed; raw internal object,Policy/state diff; audit/tool records; approval check; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,PASS,evidence/gui_operator_runs.jsonl
OP-0043,FUNC-0043,G13,gemma4-turbo,Offline and recovery,Сначала без внешнего интернета ответь локально: сколько байт в килобайте по двоичной системе? Затем попробуй получить текущую публичную страницу example.com и понятно сообщи результат. После восстановления сети повтори web-запрос.,Повтори web-запрос после восстановления соединения.,Local answer works; web failure honest; retry succeeds after network restore,Loopback remains; no download/pull; distinguish local and network states,False online success; raw socket error; stale cached claim,Connectivity probes; expected 1024; error rubric; retry URL/content,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0044,FUNC-0044,G01,gemma4-turbo,Startup status truth,"После штатного запуска или restart скажи, какие компоненты JARVIS сейчас готовы, какой профиль активен и готова ли модель. Не называй готовым то, что ещё запускается.",,Answer and GUI mirror actual transition state and final readiness,No guessing; distinguish warming/degraded/ready,Stale ready; wrong profile/model; raw logs/env,Launcher state; PIDs/ports; health/API/UI equality,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,FAIL,evidence/gui_operator_runs.jsonl
OP-0045,FUNC-0045,G03,gemma4-mono-perf,Mono-perf direct answer,Почему лёд плавает в воде? Ответь по-русски в двух коротких предложениях.,,Верное завершённое объяснение плотности,Два коротких предложения; русский,Internal structures; JSON envelope; traceback,Sentence count; key fact; language; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0046,FUNC-0046,G03,gemma4-mono-perf,Mono-perf strict format,Дай ровно четыре пункта подготовки к обновлению локального приложения. Без вступления.,,Ровно четыре полезных пункта,Four bullets; русский; no preamble,Extra item; prose outside list; service output,List count; language; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0047,FUNC-0047,G04,gemma4-mono-perf,Mono-perf multi-turn,"Первый ход: дай три русских пункта, каждый до пяти слов, без эмодзи. Второй ход: замени только второй пункт, остальные правила и пункты сохрани.","Замени только второй пункт, остальные правила и пункты сохрани.",Only item 2 changes; all constraints retained,Three bullets; ≤5 words each; Russian; no emoji,Changed item 1/3; constraint loss; context leak,Structural diff; word count; language; emoji scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0048,FUNC-0048,G03,gemma4-mono-perf,Mono-perf stream integrity,Сформируй восемь коротких пунктов проверки локального сервиса после restart.,,One complete eight-item rendered final,Eight bullets; no duplicate terminal,Transport frames; raw events; duplicate/truncated final,NDJSON reconstruction; item and terminal count; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0049,FUNC-0049,G05,gemma4-mono-perf,Mono-perf ordinary tool,"Проверь через доступный read-only инструмент, запущен ли backend JARVIS, и сообщи фактический статус одним абзацем.",,Necessary safe tool result is synthesized into truthful prose,Read-only; one paragraph; no raw tool data,Unneeded mutation; guessed status; tool envelope,Tool record; actual health/port; paragraph and marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0050,FUNC-0050,G06,gemma4-mono-perf,Mono-perf document fact,В приложенном mono-perf-doc-{repeat}.txt найди значение ключа checksum_marker и верни только его.,,Exact controlled marker from attached source,Only value; no explanation,Wrong file; invented fact; retrieval structure,Exact marker; attachment/source ID; output equality,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,FAIL,evidence/gui_operator_runs.jsonl
OP-0051,FUNC-0051,G12,gemma4-mono-perf,Mono-perf failure recovery,Попробуй прочитать повреждённый mono-perf-bad-{repeat}.pdf и дай краткий вывод. После понятной ошибки я приложу исправный файл; повтори задачу.,Теперь приложен исправный mono-perf-good-{repeat}.pdf; повтори краткий вывод.,Honest actionable first error; successful clean retry,No false success; no stale partial output,Traceback; parser dump; stale success; duplicate final,Error rubric; output diff; retry fact checklist; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0052,FUNC-0052,G08,gemma4-mono-perf,Mono-perf mission,"Создай и выполни короткую read-only mission: сравни два приложенных текстовых файла по version и owner, затем дай final report с найденными различиями.",,Mission steps execute and report answers the task,Read-only; two controlled fields; truthful progress,Plan-only handoff; false completion; raw DAG object,Task/progress/event state; controlled difference matrix; report rubric,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0053,FUNC-0053,G03,gemma4-mono-perf,Mono-perf response integrity,"Обычным текстом объясни, зачем после копирования файла сверять размер и хэш. Не используй JSON и списки.",,Natural prose without internal output leakage,Russian prose; no JSON/list,Tool calls; events; roles; schema; internal prompt; traceback,Envelope/marker detector; JSON/list scan; transport/DOM comparison,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
