operator_case_id,scenario_id,profile,repeat,accepted_status,pass_1_status,pass_2_status,pass_1_selected_record,pass_2_selected_record,pass_1_intent_fidelity,pass_2_intent_fidelity,intent_fidelity,pass_1_task_completion,pass_2_task_completion,task_completion,pass_1_constraint_adherence,pass_2_constraint_adherence,constraint_adherence,pass_1_truthfulness,pass_2_truthfulness,truthfulness,pass_1_response_integrity,pass_2_response_integrity,response_integrity,pass_1_state_consistency,pass_2_state_consistency,state_consistency,pass_1_recovery_quality,pass_2_recovery_quality,recovery_quality,pass_1_ux_clarity,pass_2_ux_clarity,ux_clarity,finding_ids,evidence_refs
OP-0005,FUNC-0005,gemma4-turbo,3,PASS,PASS,PASS,14,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0006,FUNC-0006,gemma4-turbo,1,FAIL,FAIL,FAIL,15,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,,2,0,0,0,0,0,0,FUNC-FIND-001,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0006,FUNC-0006,gemma4-turbo,2,FAIL,FAIL,FAIL,16,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,,2,0,0,0,0,0,0,FUNC-FIND-001,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0007,FUNC-0007,gemma4-turbo,1,FAIL,FAIL,FAIL,17,1,2,2,2,2,1,1,0,0,0,2,2,2,1,2,1,2,,2,2,,2,0,1,0,FUNC-FIND-002,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0007,FUNC-0007,gemma4-turbo,2,FAIL,FAIL,FAIL,18,1,2,2,2,2,1,1,0,0,0,2,2,2,1,2,1,2,,2,2,,2,0,1,0,FUNC-FIND-002,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0008,FUNC-0008,gemma4-turbo,1,PASS,PASS,PASS,19,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0008,FUNC-0008,gemma4-turbo,2,PASS,PASS,PASS,20,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0009,FUNC-0009,gemma4-turbo,1,PASS,PASS,PASS,21,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0009,FUNC-0009,gemma4-turbo,2,PASS,PASS,PASS,22,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0009,FUNC-0009,gemma4-turbo,3,PASS,PASS,PASS,23,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0010,FUNC-0010,gemma4-turbo,1,FAIL,FAIL,FAIL,24,1,2,2,2,1,2,1,0,0,0,2,2,2,0,1,0,2,,2,2,,2,0,1,0,FUNC-FIND-002,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0010,FUNC-0010,gemma4-turbo,2,FAIL,FAIL,FAIL,25,1,2,2,2,1,2,1,0,0,0,2,2,2,0,1,0,2,,2,2,,2,0,1,0,FUNC-FIND-002,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0011,FUNC-0011,gemma4-turbo,1,PASS,PASS,PASS,26,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0011,FUNC-0011,gemma4-turbo,2,PASS,PASS,PASS,27,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0012,FUNC-0012,gemma4-turbo,1,PASS,PASS,PASS,28,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,,2,2,,2,2,1,1,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0012,FUNC-0012,gemma4-turbo,2,PASS,PASS,PASS,29,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0013,FUNC-0013,gemma4-turbo,1,FAIL,FAIL,FAIL,78,1,1,1,1,0,0,0,0,0,0,2,2,2,1,2,1,2,0,0,1,1,1,1,1,1,FUNC-FIND-003,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0013,FUNC-0013,gemma4-turbo,2,FAIL,FAIL,FAIL,79,1,1,1,1,0,0,0,0,0,0,1,2,1,1,2,1,2,0,0,1,1,1,1,1,1,FUNC-FIND-003,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0013,FUNC-0013,gemma4-turbo,3,FAIL,FAIL,FAIL,80,1,1,1,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0,FUNC-FIND-003,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0014,FUNC-0014,gemma4-turbo,1,FAIL,FAIL,FAIL,34,1,1,1,1,0,0,0,0,0,0,2,2,2,1,2,1,0,0,0,0,0,0,1,1,1,FUNC-FIND-004,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0014,FUNC-0014,gemma4-turbo,2,FAIL,FAIL,FAIL,41,2,1,1,1,0,0,0,0,0,0,2,2,2,1,2,1,0,0,0,0,0,0,1,1,1,FUNC-FIND-004,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0015,FUNC-0015,gemma4-turbo,1,PASS,PASS,PASS,42,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0015,FUNC-0015,gemma4-turbo,2,PASS,PASS,PASS,43,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0016,FUNC-0016,gemma4-turbo,1,FAIL,FAIL,FAIL,76,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,FUNC-FIND-004;FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0016,FUNC-0016,gemma4-turbo,2,FAIL,FAIL,FAIL,77,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,FUNC-FIND-004;FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0017,FUNC-0017,gemma4-turbo,1,PASS,PASS,PASS,38,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0017,FUNC-0017,gemma4-turbo,2,PASS,PASS,PASS,44,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0017,FUNC-0017,gemma4-turbo,3,PASS,PASS,PASS,40,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0018,FUNC-0018,gemma4-turbo,1,PASS,PASS,PASS,45,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0018,FUNC-0018,gemma4-turbo,2,PASS,PASS,PASS,46,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0019,FUNC-0019,gemma4-turbo,1,INCONCLUSIVE,PASS,FAIL,47,1,2,2,2,2,2,2,1,0,0,2,2,2,1,1,1,2,2,2,2,,2,1,0,0,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0019,FUNC-0019,gemma4-turbo,2,INCONCLUSIVE,PASS,FAIL,48,1,2,2,2,2,2,2,1,0,0,2,2,2,1,1,1,2,2,2,2,,2,1,0,0,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0020,FUNC-0020,gemma4-turbo,1,PASS,PASS,PASS,49,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0020,FUNC-0020,gemma4-turbo,2,PASS,PASS,PASS,50,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0020,FUNC-0020,gemma4-turbo,3,PASS,PASS,PASS,51,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0021,FUNC-0021,gemma4-turbo,1,PASS,PASS,PASS,52,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0021,FUNC-0021,gemma4-turbo,2,PASS,PASS,PASS,53,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0021,FUNC-0021,gemma4-turbo,3,PASS,PASS,PASS,54,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0022,FUNC-0022,gemma4-turbo,1,PASS,PASS,PASS,30,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0022,FUNC-0022,gemma4-turbo,2,PASS,PASS,PASS,31,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0023,FUNC-0023,gemma4-turbo,1,FAIL,FAIL,FAIL,55,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,FUNC-FIND-005,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0023,FUNC-0023,gemma4-turbo,2,FAIL,FAIL,FAIL,56,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,FUNC-FIND-005,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0024,FUNC-0024,gemma4-turbo,1,PASS,PASS,PASS,32,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,,2,2,,2,1,1,1,FUNC-FIND-002,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0024,FUNC-0024,gemma4-turbo,2,FAIL,FAIL,FAIL,33,1,2,2,2,2,2,2,1,1,1,2,2,2,0,0,0,2,,2,2,,2,0,0,0,FUNC-FIND-002,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0025,FUNC-0025,gemma4-turbo,1,FAIL,FAIL,FAIL,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0025,FUNC-0025,gemma4-turbo,2,FAIL,FAIL,FAIL,63,2,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0025,FUNC-0025,gemma4-turbo,3,FAIL,FAIL,FAIL,64,2,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0026,FUNC-0026,gemma4-turbo,1,FAIL,FAIL,FAIL,65,2,1,1,1,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,1,1,1,FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0026,FUNC-0026,gemma4-turbo,2,FAIL,FAIL,FAIL,66,2,1,1,1,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,1,1,1,FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0027,FUNC-0027,gemma4-turbo,1,PASS,PASS,PASS,67,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0027,FUNC-0027,gemma4-turbo,2,PASS,PASS,PASS,68,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0028,FUNC-0028,gemma4-turbo,1,FAIL,FAIL,FAIL,69,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0028,FUNC-0028,gemma4-turbo,2,FAIL,FAIL,FAIL,70,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0029,FUNC-0029,gemma4-turbo,1,PASS,PASS,PASS,81,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0029,FUNC-0029,gemma4-turbo,2,FAIL,FAIL,FAIL,82,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0029,FUNC-0029,gemma4-turbo,3,FAIL,FAIL,FAIL,83,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0030,FUNC-0030,gemma4-turbo,1,PASS,PASS,PASS,84,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0030,FUNC-0030,gemma4-turbo,2,FAIL,FAIL,FAIL,85,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0030,FUNC-0030,gemma4-turbo,3,FAIL,FAIL,FAIL,86,1,1,1,1,0,0,0,0,0,0,1,,1,0,0,0,1,1,1,0,0,0,0,0,0,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0031,FUNC-0031,gemma4-turbo,1,FAIL,FAIL,FAIL,87,1,2,1,1,1,0,0,0,0,0,0,1,0,1,2,1,2,1,1,0,0,0,1,1,1,FUNC-FIND-003,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0031,FUNC-0031,gemma4-turbo,2,FAIL,FAIL,FAIL,88,1,2,1,1,1,0,0,0,0,0,0,1,0,1,2,1,2,1,1,0,0,0,1,1,1,FUNC-FIND-003,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0032,FUNC-0032,gemma4-turbo,1,FAIL,FAIL,FAIL,71,1,1,1,1,0,0,0,1,0,0,0,1,0,2,2,2,1,0,0,1,0,0,1,1,1,FUNC-FIND-004;FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0032,FUNC-0032,gemma4-turbo,2,FAIL,FAIL,FAIL,72,1,1,1,1,0,0,0,1,0,0,0,1,0,2,2,2,1,0,0,1,0,0,1,1,1,FUNC-FIND-004;FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0033,FUNC-0033,gemma4-turbo,1,INCONCLUSIVE,BLOCKED_BY_ENV,FAIL,73,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,0,0,1,1,1,1,2,1,FUNC-FIND-008,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0033,FUNC-0033,gemma4-turbo,2,INCONCLUSIVE,BLOCKED_BY_ENV,FAIL,74,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,0,0,1,1,1,1,2,1,FUNC-FIND-008,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0033,FUNC-0033,gemma4-turbo,3,FAIL,FAIL,FAIL,75,1,1,1,1,0,0,0,1,1,1,0,1,0,2,2,2,1,0,0,1,1,1,1,2,1,FUNC-FIND-008,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0034,FUNC-0034,gemma4-turbo,1,PASS,PASS,PASS,89,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0034,FUNC-0034,gemma4-turbo,2,FAIL,FAIL,FAIL,90,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0034,FUNC-0034,gemma4-turbo,3,FAIL,FAIL,FAIL,91,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,FUNC-FIND-003;FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0035,FUNC-0035,gemma4-turbo,1,PASS,PASS,PASS,92,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0035,FUNC-0035,gemma4-turbo,2,PASS,PASS,PASS,93,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0035,FUNC-0035,gemma4-turbo,3,INCONCLUSIVE,FAIL,INCONCLUSIVE,94,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0036,FUNC-0036,gemma4-turbo,1,FAIL,FAIL,FAIL,95,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0036,FUNC-0036,gemma4-turbo,2,FAIL,FAIL,FAIL,96,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,FUNC-FIND-006,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0037,FUNC-0037,gemma4-turbo,1,FAIL,FAIL,FAIL,106,1,1,2,1,0,0,0,1,2,1,2,2,2,1,2,1,1,1,1,0,0,0,1,1,1,FUNC-FIND-009,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0037,FUNC-0037,gemma4-turbo,2,INCONCLUSIVE,BLOCKED_BY_ENV,FAIL,107,1,1,2,1,0,0,0,1,2,1,2,2,2,1,2,1,1,1,1,1,0,0,1,1,1,FUNC-FIND-009,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0037,FUNC-0037,gemma4-turbo,3,INCONCLUSIVE,BLOCKED_BY_ENV,FAIL,108,1,1,2,1,0,0,0,1,2,1,2,2,2,1,2,1,1,1,1,1,0,0,1,1,1,FUNC-FIND-009,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0038,FUNC-0038,gemma4-turbo,1,FAIL,FAIL,FAIL,97,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,,2,0,0,0,0,0,0,FUNC-FIND-010,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0038,FUNC-0038,gemma4-turbo,2,FAIL,FAIL,FAIL,98,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,,2,0,0,0,0,0,0,FUNC-FIND-010,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0038,FUNC-0038,gemma4-turbo,3,FAIL,FAIL,FAIL,99,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,,2,0,0,0,0,0,0,FUNC-FIND-010,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
OP-0039,FUNC-0039,gemma4-turbo,1,FAIL,FAIL,FAIL,109,1,1,1,1,0,0,0,1,2,1,0,2,0,2,2,2,1,0,0,1,0,0,1,1,1,FUNC-FIND-007,evidence/gui_operator_runs.jsonl;evidence/SEMANTIC_REVIEW_RECONCILIATION.csv
