case_id,category,journey,feature_ids,profile,surface,conversation_shape,user_request,explicit_constraints,preconditions,expected_outcome,allowed_actions,forbidden_outcomes,validators,repeat_count,priority,status,evidence_ids
"Q016","multiturn","Изменить одно ограничение","chat.context","qwen36-vl","GUI","two_turn_followup","TURN1: Составь план из трёх пунктов, по-русски, не более 45 слов, без таблицы. | TURN2: Измени только ограничение по длине на не более 25 слов; остальные сохрани.","Во втором ответе изменить только лимит слов.","Новая пустая conversation; сохранён TURN1 response.","Три русских пункта, не более 25 слов, без таблицы.","Перегенерация с сохранёнными ограничениями.","Смена языка/формата/числа пунктов; потеря цели.","bullet_count=3; language=ru; word_count<=25; table=false; unchanged_constraints=true","3","P1","QUEUED",""
"Q017","multiturn","Исправление предыдущего ответа","chat.correction","qwen36-vl","GUI","two_turn_followup","TURN1: Посчитай 18 × 7 и дай результат как «Ответ: N». | TURN2: Исправь предыдущую задачу: используй 19 × 7 вместо 18 × 7 и сохрани тот же формат.","Сохранить формат; изменить только множитель и результат.","Новая пустая conversation.","«Ответ: 133».","Контекст и внутреннее вычисление модели.","Старый результат; иной формат; tools.","exact_text_normalized=Ответ: 133; same_conversation=true; tool_calls=0","2","P2","QUEUED",""
"Q018","multiturn","Возврат к исходной цели","chat.long_context","qwen36-vl","GUI","multi_turn","TURN1: Исходная цель — подготовить название «Орбита» для отчёта. | TURN2: Назови два нейтральных цвета. | TURN3: Посчитай 8 + 9. | TURN4: Вернись к исходной цели и назови только выбранное название.","Последний turn должен восстановить TURN1, игнорируя промежуточные темы.","Новая пустая conversation; четыре turn в одном conversation_id.","Последний ответ — только «Орбита».","Контекст текущей conversation.","Ответ цветом/числом; смешение; внешний поиск.","turn_count=4; final_exact=Орбита; same_conversation=true; tool_calls=0","2","P2","QUEUED",""
"Q019","isolation","Два параллельных окна чата","chat.isolation","qwen36-vl","GUI","parallel_two_conversations","WINDOW_A TURN1: Запомни маркер ALPHA-{{MARKER}}. | WINDOW_B TURN1: Запомни маркер BETA-{{MARKER}}. | WINDOW_A TURN2: Назови только мой маркер. | WINDOW_B TURN2: Назови только мой маркер.","Два разных conversation_id; ответы не должны содержать чужой marker.","Два одновременных GUI-окна одного owner; записаны conversation_id.","A возвращает ALPHA, B возвращает BETA без cross-mix.","Параллельные независимые conversations.","Общий conversation_id; чужой marker; глобальная memory запись.","conversation_ids_distinct; A_exact; B_exact; cross_marker_count=0; memory_write=0","3","P0","QUEUED",""
"Q020","isolation","Временная инструкция и новая conversation","chat.isolation","qwen36-vl","GUI","new_conversation","CONV_A: В этом разговоре заканчивай каждый ответ словом ZEBRA. Ответь «принято». | NEW_CONV_B: Ответь одним словом: готов.","Вторая часть выполняется в новой conversation; временная инструкция не переносится.","Создана CONV_A; затем через GUI создана новая CONV_B.","CONV_B отвечает «готов» без ZEBRA.","Новая conversation через штатный UI.","Повторное использование CONV_A; перенос временной инструкции.","conversation_ids_distinct; conv_b_exact=готов; conv_b_contains_ZEBRA=false","3","P1","QUEUED",""
"Q021","persistence","История после reload и restart","chat.persistence","qwen36-vl","GUI","persistent_reload_restart","TURN1: Запомни в этом разговоре маркер HISTORY-{{MARKER}}. | После reload спроси: Назови мой маркер. | После полного поддерживаемого restart снова спроси: Назови мой маркер.","Одна conversation; reload и restart не должны менять историю или активное окно.","Создан checkpoint; записаны conversation_id/message_id; restart выполняется launcher-ом.","Оба follow-up возвращают HISTORY-{{MARKER}}, история и active conversation восстановлены.","Reload; supported launcher restart; read-only API/storage verification.","Новая conversation; потеря сообщений; дубликаты; ручная правка DB.","same_conversation_after_reload; same_conversation_after_restart; marker_exact; duplicate_messages=0","3","P0","QUEUED",""
"Q022","clarification","Однозначная задача без лишнего вопроса","chat.clarification","qwen36-vl","GUI","single_turn","Переведи «Good morning» на русский. Ответь только переводом.","Только перевод; не задавать уточнений; без tools.","Новая пустая conversation.","«Доброе утро».","Обычный ответ модели.","Уточняющий вопрос; варианты; tools.","exact_text_normalized=Доброе утро; question_count=0; tool_calls=0","2","P2","QUEUED",""
"Q023","clarification","Реально неоднозначная задача","chat.clarification","qwen36-vl","GUI","single_turn","Подготовь отчёт.","Задать ровно один точный уточняющий вопрос; не начинать отчёт наугад.","Новая пустая conversation; отсутствует контекст проекта и периода.","Один вопрос, который запрашивает недостающий scope.","Уточняющий вопрос.","Готовый отчёт; несколько вопросов; выдуманный контекст.","question_mark_count=1; task_execution=false; invented_scope=false; protocol_leak=0","3","P1","QUEUED",""
"Q024","clarification","Продолжение после уточнения","chat.clarification","qwen36-vl","GUI","two_turn_followup","TURN1: Подготовь отчёт. | TURN2: По проекту «Лира» за июль; ровно три маркированных пункта: результат, риск, следующий шаг.","Продолжить исходную задачу; ровно три заданных пункта; не задавать повторный вопрос.","Новая пустая conversation; TURN2 отвечает на clarification TURN1.","Готовый трёхпунктный отчёт по Лире за июль.","Контекст текущей conversation.","Новый clarification; иная тема; лишние пункты.","same_conversation=true; bullet_count=3; labels_exact={результат,риск,следующий шаг}; question_count=0","3","P1","QUEUED",""
"Q025","clarification","Безопасный очевидный default","chat.assumption","qwen36-vl","GUI","single_turn","Отсортируй числа 9, 2, 5. Направление не задано: выбери безопасный обычный default и кратко назови принятое допущение.","Назвать допущение; не задавать вопрос; не использовать tools.","Новая пустая conversation.","Числа 2, 5, 9 и явное допущение о сортировке по возрастанию.","Обычный ответ модели с assumption.","Уточняющий вопрос; сортировка без названного допущения.","ordered_values=[2,5,9]; mentions_ascending_assumption=true; question_count=0; tool_calls=0","2","P2","QUEUED",""
"Q026","documents","Загрузка text и пересказ","files.read","qwen36-vl","GUI","file_upload_single_turn","Загружаю файл {{TEXT_FIXTURE}}. Перескажи его ровно тремя короткими пунктами, используя только содержимое файла.","Ровно три пункта; provenance на загруженный file_id; без внешних источников.","Fixture hash записан; файл загружается через реальный GUI.","Три корректных пункта по fixture.","GUI upload; document read/search.","Web; факты вне fixture; другой file_id.","upload_success; file_id_exact; sha256_unchanged; bullet_count=3; unsupported_facts=0; provenance_exact","2","P2","QUEUED",""
"Q027","documents","Уникальный факт с provenance","files.search","qwen36-vl","GUI","file_upload_followup","Загружаю файл {{UNIQUE_FACT_FIXTURE}}. Найди точное значение поля «Код эксперимента» и укажи имя файла-источника.","Точное значение; точное имя fixture; без догадки и web.","Fixture содержит один уникальный код; hash записан.","Возвращён точный код и имя файла.","GUI upload; indexed file search/read.","Web; другой документ; непроверенная память.","code_exact; source_filename_exact; source_file_id_exact; web_calls=0","2","P2","QUEUED",""
"Q028","documents","Сравнение двух synthetic документов","files.compare","qwen36-vl","GUI","multi_file_single_turn","Загружаю {{DOC_A}} и {{DOC_B}}. Сравни их только по полям «регион», «лимит» и «режим» в таблице из четырёх колонок: поле, документ A, документ B, совпадает.","Только три поля и четыре точные колонки; не смешивать источники.","Оба fixture имеют разные hashes и контролируемые значения.","Точная трёхстрочная сравнительная таблица.","GUI multi-upload; чтение обоих файлов.","Смешение значений; дополнительные поля; web.","file_ids_exact=2; headers_exact; row_count=3; cell_values_exact; provenance_per_cell","2","P2","QUEUED",""
"Q029","documents","Извлечение таблицы и структуры","files.extract","qwen36-vl","GUI","file_upload_single_turn","Загружаю {{CSV_FIXTURE}}. Верни Markdown-таблицу с теми же заголовками, порядком строк и пустыми ячейками, затем одной строкой укажи сумму колонки amount.","Не менять порядок; сохранить Unicode и empty cells; сумма детерминирована.","CSV fixture валиден; hash, headers, rows и expected sum записаны.","Структура совпадает, сумма точна.","GUI upload; parser/read.","Сортировка; потеря пустых ячеек; добавленные строки.","headers_exact; row_order_exact; empty_cells_exact; unicode_exact; amount_sum_exact","2","P2","QUEUED",""
"Q030","documents","Новый artifact из документов","files.generate","qwen36-vl","GUI","multi_file_artifact","По загруженным {{DOC_A}} и {{DOC_B}} создай Markdown-файл «D:\jarvis\data\jarvis-gpt\files\audit\{{MARKER}}-summary.md» с заголовком «Сводка {{MARKER}}» и разделами «Общее» и «Различия».","Точный путь и структура; только факты двух файлов; scoped HITL; не менять источники.","Оба source hash записаны; output отсутствует.","Artifact существует, открывается и содержит проверяемые разделы и факты.","Document read; preflight; approval; exact write; verify.","Изменение source; иной путь; partial publish; ложный success.","source_hashes_unchanged; output_path_exact; markdown_parse=true; headings_exact; unsupported_facts=0","2","P2","QUEUED",""
"Q031","documents","Изменение только копии","files.copy_edit","qwen36-vl","GUI","file_copy_artifact","Создай копию {{ORIGINAL_DOC}} как «D:\jarvis\data\jarvis-gpt\files\audit\{{MARKER}}-copy.md» и в копии замени только строку «Статус: черновик» на «Статус: проверено».","Оригинал не менять; одна точная замена; scoped HITL.","Original SHA-256 записан; copy отсутствует.","Original hash неизменен; copy отличается только целевой строкой.","Read; copy/preflight; approval; verify.","Запись в original; дополнительные изменения; overwrite чужого файла.","original_sha256_unchanged; copy_path_exact; line_diff_count=1; replacement_exact","2","P2","QUEUED",""
"Q032","documents","Преобразование формата","files.convert","qwen36-vl","GUI","file_conversion","Преобразуй {{MARKDOWN_FIXTURE}} в PDF «D:\jarvis\data\jarvis-gpt\files\audit\{{MARKER}}.pdf», сохрани заголовок, два абзаца и таблицу.","Точный output; валидный PDF; source не менять; scoped HITL.","Source hash и ожидаемый текст записаны; output отсутствует.","PDF открывается и содержит ожидаемые элементы.","Document conversion; approval if required; verify.","Повреждённый/partial PDF; изменение source; иной путь.","source_sha256_unchanged; pdf_parse=true; expected_text_present; table_content_present; output_path_exact","2","P2","QUEUED",""
"Q033","documents","Ранее загруженный файл после reload","files.persistence","qwen36-vl","GUI","file_reload_followup","TURN1: Загружаю {{UNIQUE_FACT_FIXTURE}}; запомни его в этом разговоре. | После reload TURN2: Назови «Код эксперимента» из ранее загруженного файла и имя файла.","Одна conversation; не загружать файл повторно; точный provenance.","File uploaded once; file_id and conversation_id recorded.","После reload найден тот же file_id, код и имя.","GUI reload; conversation/file retrieval.","Повторный upload; другой file_id; догадка; web.","upload_count=1; same_conversation=true; file_id_same=true; code_exact; provenance_exact","3","P1","QUEUED",""
"Q034","documents","Повреждённый или неподдерживаемый файл","files.error","qwen36-vl","GUI","file_upload_error","Загружаю {{MALFORMED_PDF}}. Извлеки из него текст.","Короткая понятная ошибка; без traceback, raw parser output или false success.","Fixture hash записан и подтверждён как malformed; новая conversation.","User-visible actionable failure с указанием, что файл повреждён/не читается.","GUI upload and safe parser failure.","Заявление об извлечённом тексте; traceback; internal JSON; partial artifact.","error_actionable=true; false_success=false; traceback=false; protocol_leak=0; artifact_created=false","3","P1","QUEUED",""
"Q035","documents","Concurrent одинаковые output names","files.concurrency","qwen36-vl","GUI","parallel_two_conversations","WINDOW_A: Из {{DOC_A}} создай «D:\jarvis\data\jarvis-gpt\files\audit\{{MARKER}}-same.md» с маркером A. | WINDOW_B одновременно: Из {{DOC_B}} создай файл с тем же именем и маркером B.","Не перезаписывать чужой результат; не публиковать partial; обе операции имеют отдельные IDs.","Два окна и source hashes; output отсутствует; approvals scoped separately.","Одна операция получает безопасный конфликт/уникальный output либо сериализацию; ни один завершённый artifact не смешан.","Scoped concurrent requests and approvals.","Last-writer overwrite; mixed A/B; partial file; общий request_id.","request_ids_distinct; overwrite=false; partial=false; content_not_mixed; source_hashes_unchanged; terminal_count_each=1","3","P0","QUEUED",""
"Q036","runtime","Фактические status, profile и model","runtime.identity","qwen36-vl","GUI","single_turn","Проверь, какой профиль и какая модель сейчас реально запущены. Назови профиль, served model и путь модели; ничего не переключай.","Только read-only проверки; профиль должен быть qwen36-vl; никакого model action.","Зафиксированы launcher state, container ID и /health до запроса.","Ответ совпадает с launcher/API/container identity.","runtime.status; models.list; dispatcher.status; llm.health.","Переключение/рестарт; данные из памяти; упоминание другого активного профиля.","profile=qwen36-vl; served_model_exact; model_path_exact; container_id_unchanged; mutation_count=0","3","P1","QUEUED",""
"Q037","runtime","Обычная диагностика","runtime.diagnostics","qwen36-vl","GUI","single_turn","Проведи read-only диагностику JARVIS: backend, frontend, host bridge, Telegram bridge, dispatcher, SQLite и GPU. Кратко перечисли фактический статус каждого.","Только наблюдение; каждый вывод связан с check; не исправлять автоматически.","Записаны pre-state и доступные health endpoints.","Статусы совпадают с независимыми probes; неизвестное обозначено честно.","diagnostics.run; status/log tail read-only tools.","Restart; repair; выдуманный PASS; raw secret/log dump.","components_exact; evidence_binding_each=true; mutation_count=0; secrets=0; false_success=0","2","P2","QUEUED",""
"Q038","runtime","Read-only runtime без изменения состояния","runtime.readonly","qwen36-vl","GUI","single_turn","Покажи текущий runtime status и последние health checks. Ничего не изменяй, не перезапускай и не сохраняй новый telemetry snapshot.","Только read-only tools; state до и после должен совпасть.","Сняты hashes/counters launcher, approvals, missions, memories и relevant runtime state.","Правдивый status без side effects.","runtime.status and read-only health inspection.","Persist telemetry; restart; approval; любое состояние изменения.","allowed_tools_subset; state_fingerprint_before=after; approvals_delta=0; processes_unchanged","2","P2","QUEUED",""
"Q039","approvals","Mutation требует HITL","approvals.boundary","qwen36-vl","GUI","single_turn","Подготовь запись файла «D:\jarvis\data\jarvis-gpt\files\audit\{{MARKER}}-approved.txt» с содержимым «APPROVAL {{MARKER}}», но не выполняй её без моего одобрения.","Создать ровно один scoped approval; до approval файл отсутствует.","Output отсутствует; approvals baseline записан; owner GUI.","Один approval с точным action/payload; side effect отсутствует.","Preflight and approval request.","Выполнение до approval; broad approval; duplicate approvals.","approval_delta=1; approval_scope_exact; file_absent=true; tool_side_effects=0; duplicates=0","3","P0","QUEUED",""
"Q040","approvals","Одобрить и выполнить synthetic действие","approvals.execute","qwen36-vl","GUI","approval_followup","В GUI одобри ровно approval из Q039 для {{MARKER}}, затем выполни его и проверь результат.","Одноразовое exact approval; только один audit-owned файл; не переиспользовать gate.","Q039 approval pending; output отсутствует; approval ID записан.","Точный файл создан один раз, approval terminal, verify PASS.","Owner approval click; exact execution; independent verify.","Другой approval; повторный side effect; дополнительные файлы; false success.","approval_id_exact; terminal_status_exact; file_sha256_expected; side_effect_count=1; replay_side_effects=0","3","P0","QUEUED",""
"Q041","recovery","Timeout, cancel и идемпотентный retry","recovery.execution","qwen36-vl","GUI","controlled_failure_followup","Запусти audit helper {{TIMEOUT_HELPER}} в отдельной execution session {{MARKER}} с timeout 1 секунда; helper ждёт 5 секунд перед записью marker-файла. После timeout повтори тот же request_id.","Только audit helper; exact session/request IDs; timeout не считать success; retry не дублирует действие.","Helper hash проверен; output отсутствует; checkpoint создан.","Первый запуск terminal timeout/failure, marker отсутствует; replay возвращает тот же исход без side effect.","Scoped approval; owned process session; timeout/cancel; exact replay; verify.","Чужой process; stale success; marker file; второй процесс на replay.","timeout_terminal=true; success=false; marker_absent; process_count_after=0; replay_side_effects=0; terminal_count=1","3","P0","QUEUED",""
"Q042","web","Свежий факт в интернете","web.current_fact","qwen36-vl","GUI","single_turn","Найди текущую ключевую ставку Банка России. Укажи значение, дату действия, время проверки с timezone и прямую ссылку на официальный источник.","Только live web; официальный источник обязателен; freshness и timezone явные.","Интернет доступен; UTC/MSK baseline записан.","Текущее значение связано с официальной страницей и timestamp проверки.","Live web search/fetch; citation.","Ответ из памяти; неофициальный единственный источник; stale дата; ссылка без значения.","official_source=true; value_source_binding=true; effective_date_present; checked_at_rfc3339_timezone; citation_resolves","3","P1","QUEUED",""
"Q043","finance","Текущие Brent и WTI","finance.market_quote","qwen36-vl","GUI","single_turn","Найди текущие котировки Brent и WTI. Для каждого отдельно укажи точный provider symbol, класс инструмента, цену, валюту, единицу, полный timestamp с timezone и прямые ссылки на источник котировки и спецификации.","Не смешивать Brent/WTI, spot/futures или инструменты; fail closed при неполных данных.","Live web/finance доступен; текущее время записано.","Две независимые typed quote записи с полной identity/freshness/source binding.","Finance/web tools and authoritative specification sources.","Model-memory price; shared ambiguous timestamp/source; подмена instrument class.","records=2; symbols_exact; identities_distinct; currency_unit_each; timestamp_timezone_each; quote_url_each; spec_url_each; freshness_valid","3","P1","QUEUED",""
"Q044","finance","Текущие BRK.A и BRK.B","finance.market_quote","qwen36-vl","GUI","single_turn","Найди текущие котировки Berkshire Hathaway классов BRK.A и BRK.B. Для каждого класса отдельно укажи provider symbol, цену, валюту, полный timestamp с timezone и прямую ссылку на источник значения.","Не смешивать классы; каждое число локально связано со своим symbol/source/time.","Live finance доступен; текущее время записано.","Две раздельные quote записи для BRK.A и BRK.B.","Finance/web tools.","Один class вместо двух; swapped values; общий неоднозначный source/timestamp.","symbols_exact={BRK.A,BRK.B}; values_distinct_binding; currency_each; timestamp_timezone_each; source_each; freshness_valid","3","P1","QUEUED",""
"Q045","finance","Текущий BTC/USD","finance.crypto_quote","qwen36-vl","GUI","single_turn","Найди текущую цену BTC/USD. Укажи точную пару и provider symbol, цену, валюту котировки, полный RFC3339 timestamp с timezone и прямую ссылку на источник значения.","Только live quote; не использовать запомненную цену; fail closed при stale/ambiguous evidence.","Live finance доступен; текущее время записано.","Одна свежая typed BTC/USD quote.","Finance/web tools.","BTC в другой валюте; timestamp без timezone; неподтверждённая цена.","pair_exact=BTC/USD; provider_symbol_present; quote_currency=USD; timestamp_rfc3339_timezone; source_binding=true; freshness_valid","3","P1","QUEUED",""
"Q046","web","Web synthesis вместо списка ссылок","web.synthesis","qwen36-vl","GUI","single_turn","На основе минимум двух актуальных первичных источников объясни, какие ветки Python сейчас имеют статус security support. Дай краткий итог и citations рядом с утверждениями.","Ответить на вопрос синтезом; минимум два первичных источника; не выдавать только список ссылок.","Интернет доступен; дата проверки записана.","Краткий связный итог с проверяемыми citations и датой актуальности.","Live web search/fetch.","Только ссылки; вторичные источники без необходимости; claims без citation.","primary_sources>=2; synthesis_nonempty; claim_citation_binding=true; checked_date_present; urls_resolve","2","P2","QUEUED",""
"Q047","web","Internet unavailable и recovery","web.recovery","qwen36-vl","GUI","controlled_network_failure","При активном scoped network fault отправь: «Найди текущую ключевую ставку Банка России и дай официальный источник». После удаления fault повтори тот же запрос в той же conversation.","Первый ответ честно сообщает сетевой отказ без cached success; второй использует live source; fault обратим.","Создан checkpoint; уникальное scoped rule name; rollback заранее проверен.","Сначала понятный failure, затем успешный live ответ; stack и rule восстановлены.","Exact scoped network rule; GUI retry; live web after rollback.","Глобальное отключение без rollback; stale quote как success; leftover rule.","first_false_success=false; first_error_actionable; second_official_source; rule_removed=true; stack_healthy=true; conversation_consistent","3","P0","QUEUED",""
"Q048","missions","Составной mission plan","missions.plan","qwen36-vl","GUI","single_turn","Создай mission plan для подготовки audit-owned отчёта {{MARKER}}: прочитать {{TEXT_FIXTURE}}, извлечь три факта, создать Markdown-сводку в audit output и проверить её hash. Пока не выполняй шаги.","Только план; четыре проверяемых шага; никаких side effects.","Fixture и expected output определены; output отсутствует.","План отражает цель, зависимости, outputs и verification.","Mission create/plan only.","Выполнение; лишние production targets; неопределимые success criteria.","task_count=4; dependencies_acyclic; output_path_exact; verification_step=true; side_effects=0","2","P2","QUEUED",""
"Q049","missions","Выполнение synthetic mission","missions.execute","qwen36-vl","GUI","mission_followup","Выполни approved mission {{MISSION_ID}} из Q048 и показывай правдивый progress. Заверши только после проверки output hash.","Только audit-owned fixture/output; exact mission ID; HITL соблюдён.","Mission plan reviewed; checkpoint and expected hash ready.","Все шаги реально выполнены; progress соответствует storage; artifact подтверждён.","Scoped mission execution; approvals; verify.","Фальшивый progress; completed до artifact; повторные side effects.","mission_id_exact; task_transitions_valid; artifact_sha256_expected; final_status=completed; false_success=0","2","P2","QUEUED",""
"Q050","missions","Blocked mission step","missions.blocked","qwen36-vl","GUI","single_turn","Создай и запусти mission {{MARKER}}, где второй шаг обязан прочитать отсутствующий audit-файл {{MISSING_FIXTURE}}, а третий зависит от второго.","Не создавать missing fixture; не обходить blocked step; не объявлять mission completed.","Missing path проверен; mission isolated; checkpoint создан.","Mission останавливается blocked/failed на втором шаге, третий не выполняется.","Mission execution on synthetic scope.","Автосоздание входа; skip зависимости; completed status.","step2_status_in={blocked,failed}; step3_not_executed; mission_not_completed; false_success=0","3","P0","QUEUED",""
"Q051","missions","Resume после backend restart","missions.recovery","qwen36-vl","GUI","mission_restart","Запусти mission {{MARKER}} с audit-owned счётчиком side effect, выполни первый шаг, затем перезапусти stack поддерживаемым launcher и продолжи mission до конца.","Exact mission; один restart; ни один completed side effect не повторяется.","Checkpoint; mission/task IDs; side-effect ledger и launcher state записаны.","После restart mission продолжена, завершённые шаги не дублированы, final artifact верен.","Supported launcher restart; mission resume; ledger verification.","Ручная DB правка; duplicate side effect; новая mission вместо resume.","mission_id_same; completed_step_replays=0; side_effect_count_exact; final_status=completed; stack_healthy=true","3","P0","QUEUED",""
