path,classification,subsystem,size_bytes,line_count,public_entry_points,outgoing_dependencies,side_effect_categories,test_reference_count,indexed,review_status,phase_b_required
backend/src/jarvis_gpt/api.py,production,backend-api,60104,1690,lifespan;local_api_guard;storage;index;health;status;runtime_security;runtime_backup;operator_queue;operator_quality;model_profiles;agent_trace;agent_message_trace;models;model_hub_search;model_downloads;model_download;model_download_cancel;model_activate;model_delete;dispatcher;dispatcher_action;telemetry;telemetry_live;learning_tick;learning_journal;host_bridge;autonomy;preferences;update_preferences;persona;update_persona;add_persona_insight;autonomy_policy;update_autonomy_policy;browser_policy;browser_handoff;internet_observability;update_browser_policy;docker_policy;update_docker_policy;docker_containers;cleanup_runtime;autonomy_jobs;autonomy_job_runs;create_autonomy_job;update_autonomy_job;cancel_autonomy_job;run_autonomy_job;start_autonomy_job;routines;run_routine;briefing;chat;chat_stream;interrupted_stream;list_conversations;list_conversation_messages;set_message_feedback;delete_conversation;environment_profile;execution_playbooks;executive_plan;web_surfer_capabilities;list_missions;create_mission;get_mission;execute_next_mission_step;run_mission;get_mission_report;update_mission_task;search_memory;add_memory;memory_vault;memory_hygiene;memory_consolidate;list_files;upload_file;ingest_directory;search_files;download_file;get_file;list_audit;list_approvals;create_approval;update_approval;execute_approval;list_tools;run_tool;list_tool_runs;diagnostics;self_heal;benchmark;ws_events,.agent;.approval_executor;.autonomy_executor;.cognitive_memory;.config;.diagnostics;.dispatcher;.event_bus;.executive_runtime;.experience;.host_bridge;.ingest;.learning;.llm;.model_catalog;.model_hub;.models;.operations;.operator_queue;.persona;.runtime_lease;.storage;.supervisor;.telemetry,network;persistence;process,75,true,subsystem-review,true
backend/src/jarvis_gpt/approval_executor.py,production,execution,24557,613,ApprovalExecution;ApprovalExecutor;finish_despite_cancellation,.diagnostics;.dispatcher;.learning;.llm;.models;.redaction;.storage;.telemetry;.tools;__future__;asyncio;collections.abc;dataclasses;typing,,2,true,subsystem-review,false
backend/src/jarvis_gpt/archive_runtime.py,production,web-document,30410,871,ArchiveError;ArchiveSafetyError;ArchiveUnsupportedError;ArchiveConfig;archive_capabilities;is_archive_path;list_archive;extract_archive;read_archive_member;create_archive;re_abs_windows,.file_types;__future__;bz2;collections.abc;dataclasses;gzip;hashlib;lzma;pathlib;shutil;tarfile;typing;zipfile,persistence,1,true,subsystem-review,true
backend/src/jarvis_gpt/autonomy_executor.py,production,autonomy-jobs,21973,560,AutonomyExecutor,.agent;.diagnostics;.dispatcher;.event_bus;.experience;.learning;.llm;.operations;.storage;.telemetry;.tools;__future__;asyncio;hashlib;re;time;typing,persistence,3,true,subsystem-review,true
backend/src/jarvis_gpt/browser_cdp.py,production,tools-host-web,34955,996,BrowserCdpError;BrowserPageSnapshot;BrowserTarget;BrowserActionResult;chrome_debugger_status;read_chrome_page;scroll_chrome_page;run_chrome_action;normalize_debug_url;looks_like_human_verification,__future__;asyncio;base64;collections.abc;dataclasses;httpx;json;typing;urllib.parse;websockets;websockets.exceptions,network;persistence,8,true,subsystem-review,true
backend/src/jarvis_gpt/cli.py,production,cli,27143,752,cmd_init;cmd_profiles;cmd_status;cmd_backup;cmd_models;cmd_diag;cmd_chat;cmd_tools;cmd_llm_health;cmd_dispatcher_status;cmd_dispatcher_compose;cmd_dispatcher_up;cmd_dispatcher_down;cmd_telemetry;cmd_learning_tick;cmd_host_bridge;cmd_host_bridge_action;cmd_autonomy;cmd_persona;cmd_persona_set;cmd_ingest;cmd_files;cmd_file_search;cmd_audit;cmd_approvals;cmd_approval_request;cmd_approval_update;cmd_approval_execute;cmd_tool_run;cmd_mission_next;cmd_mission_run;cmd_serve;build_parser;main,.agent;.approval_executor;.cognitive_memory;.config;.diagnostics;.dispatcher;.event_bus;.executive_runtime;.host_bridge;.ingest;.learning;.llm;.model_catalog;.persona;.runtime_lease;.storage;.supervisor;.telemetry;.tools;__future__;argparse;asyncio;collections.abc;contextlib,persistence;process,8,true,subsystem-review,true
backend/src/jarvis_gpt/cognitive_memory.py,production,state-memory,29848,808,collect_host_facts;HostProfileManager;PlaybookRecord;ExecutionPlaybookStore,.redaction;__future__;collections.abc;contextlib;dataclasses;datetime;hashlib;json;os;pathlib;platform;re;shutil;socket;sqlite3;struct;subprocess;sys;tempfile;threading;typing;unicodedata,network;persistence;process,5,true,subsystem-review,true
backend/src/jarvis_gpt/config.py,production,configuration,12141,333,default_home;VllmExtraArgs;RuntimeProfile;JarvisSettings;load_settings;ensure_runtime_dirs,__future__;dataclasses;os;pathlib;platform,persistence;process,55,true,subsystem-review,true
backend/src/jarvis_gpt/diagnostics.py,production,backend-core,4533,141,run_diagnostics,.config;.llm;.model_catalog;.models;.storage;__future__;asyncio;pathlib;platform;shutil;subprocess;sys,persistence;process,21,true,subsystem-review,true
backend/src/jarvis_gpt/dispatcher.py,production,profiles-models,21935,593,DispatcherManager,.config;.model_catalog;.storage;__future__;json;os;pathlib;shutil;socket;subprocess;time;typing,network;persistence;process,57,true,subsystem-review,true
backend/src/jarvis_gpt/document_agent.py,production,web-document,7603,199,DocumentGenerationRequest;GeneratedDocument;DocumentAgent;get_document_agent_tools,.document_surfer;__future__;collections.abc;dataclasses;pathlib;typing,,1,true,subsystem-review,false
backend/src/jarvis_gpt/document_memory.py,production,web-document,21497,676,DocumentMemory,.document_surfer;.storage;__future__;pathlib;re;typing,,3,true,subsystem-review,false
backend/src/jarvis_gpt/document_runtime.py,production,web-document,22226,651,DocumentRuntimeError;document_mime_type;is_supported_document;extract_document;compare_documents;apply_document_replacements;copy_document,__future__;difflib;html;mimetypes;pathlib;re;shutil;typing;xml.etree;zipfile,persistence,3,true,subsystem-review,true
backend/src/jarvis_gpt/document_surfer.py,production,web-document,81052,2070,DocumentSurferError;DocumentUnsupportedError;DocumentSafetyError;DocumentGenerationError;DocumentSurferConfig;supported_document_kinds;document_surfer_capabilities;is_document_path_supported;JarvisDocumentSurfer,.archive_runtime;.document_runtime;.file_types;__future__;collections.abc;csv;dataclasses;datetime;hashlib;html;io;json;logging;pathlib;re;shutil;typing;xml.etree;zipfile,persistence,3,true,subsystem-review,true
backend/src/jarvis_gpt/embeddings.py,production,backend-core,5545,140,lexical_vector;sparse_cosine;dense_cosine;reciprocal_rank_fusion;EmbeddingBackend;semantic_similarity_order,.config;__future__;httpx;math;re,network,2,true,subsystem-review,true
backend/src/jarvis_gpt/event_bus.py,production,backend-api,1414,50,EventBus,__future__;asyncio;fastapi;json;typing,network,13,true,subsystem-review,true
backend/src/jarvis_gpt/execution_actions.py,production,execution,43301,1174,PathPolicy;RegistryHive;RegistryValueKind;CreateDirectoryAction;StatPathAction;ListDirectoryAction;ReadFileAction;WriteFileAction;CopyFileAction;MoveFileAction;DeleteFileAction;ProcessAction;ProcessSignal;TerminateOwnedProcessAction;ResolveHostAction;TcpProbeAction;RegistrySetAction;RegistryGetAction;RegistryDeleteValueAction;AtomicActionExecutor,.execution_filesystem;.execution_models;.execution_process;.execution_session;__future__;asyncio;base64;collections.abc;contextlib;contextvars;dataclasses;enum;hashlib;ipaddress;os;pathlib;re;shutil;signal;socket;stat;tempfile;time;typing,network;persistence,5,true,subsystem-review,true
backend/src/jarvis_gpt/execution_config.py,production,execution,11641,292,build_execution_kernel;execution_roots;execution_denied_paths;load_execution_capabilities;execution_capabilities_snapshot,.config;.execution_kernel;.execution_process;__future__;json;os;pathlib;re;typing,,2,true,subsystem-review,false
backend/src/jarvis_gpt/execution_filesystem.py,production,execution,30504,813,metadata_identity;BoundPath;DirectoryEntrySnapshot;PathMutationGuard;verified_binary_handle;directory_entries;pinned_directory,__future__;collections.abc;contextlib;dataclasses;os;pathlib;stat;threading;typing,persistence,1,true,subsystem-review,true
backend/src/jarvis_gpt/execution_kernel.py,production,execution,50199,1274,KernelCapabilities;KernelResult;KernelBatchResult;ExecutionKernel,.execution_actions;.execution_models;.execution_process;.execution_protocol;.execution_replay;.execution_session;.execution_transaction;.state_verification;__future__;asyncio;collections;collections.abc;contextlib;dataclasses;datetime;enum;ipaddress;json;pathlib;re;signal;typing,persistence,2,true,subsystem-review,true
backend/src/jarvis_gpt/execution_models.py,schema,execution,2160,96,TerminationReason;ProcessNode;PermissionSnapshot;FilesystemEntry;FilesystemDiff;StreamCapture;ExecutionFeedback;ActionFeedback,__future__;dataclasses;enum;typing,,1,true,subsystem-review,false
backend/src/jarvis_gpt/execution_process.py,production,execution,76328,2053,ExecutableRule;ExecutablePolicy;ProcessRequest;AsyncProcessRunner;process_tree_snapshot;permission_snapshot;filesystem_snapshot;filesystem_diff,.execution_filesystem;.execution_models;.execution_session;__future__;asyncio;collections.abc;contextlib;ctypes;dataclasses;datetime;getpass;hashlib;hmac;json;os;pathlib;re;select;shutil;signal;socket;stat;subprocess;sys,network;persistence;process,5,true,subsystem-review,true
backend/src/jarvis_gpt/execution_protocol.py,production,execution,14401,425,ActionClass;FsStatSpec;FsListSpec;FsReadSpec;FsMkdirSpec;FsWriteSpec;FsCopySpec;FsMoveSpec;FsDeleteSpec;ProcessRunSpec;ProcessTerminateSpec;NetworkResolveSpec;NetworkTcpProbeSpec;RegistryGetSpec;RegistrySetSpec;RegistryDeleteSpec;ActionEnvelope;ResultEnvelope;parse_action;serialize_result;action_json_schema;classify_action;classify_payload;is_mutating;canonical_action_json,.execution_actions;.execution_models;.execution_process;__future__;base64;collections.abc;enum;json;pathlib;pydantic;re;typing,,1,true,subsystem-review,false
backend/src/jarvis_gpt/execution_replay.py,production,execution,12244,325,ReplayJournalEntry;DurableReplayJournal,__future__;collections;collections.abc;contextlib;dataclasses;datetime;hashlib;hmac;json;os;pathlib;re;threading;typing;uuid,persistence,0,true,subsystem-review,true
backend/src/jarvis_gpt/execution_session.py,production,execution,28236,722,SessionStatus;StepStatus;ProcessStatus;StepRecord;ProcessRecord;HistoryDigest;ExecutionSession;SessionRegistry;monotonic_ms,__future__;collections;ctypes;dataclasses;datetime;enum;json;os;pathlib;re;shutil;signal;subprocess;threading;time;typing;uuid,persistence;process,2,true,subsystem-review,true
backend/src/jarvis_gpt/execution_transaction.py,production,execution,49023,1221,CheckpointStatus;PathCheckpoint;RegistryCheckpoint;EnvironmentCheckpoint;TransactionResult;CheckpointManager;TransactionalExecutor,.execution_actions;.execution_filesystem;.execution_models;.state_verification;__future__;asyncio;base64;collections.abc;contextlib;dataclasses;enum;hashlib;json;os;pathlib;re;shutil;stat;typing;uuid,persistence,3,true,subsystem-review,true
backend/src/jarvis_gpt/executive_planner.py,production,execution,62122,1503,PlannerError;GraphValidationError;InvalidTransitionError;RevisionConflictError;AttemptLimitError;PreconditionMismatchError;VerificationError;GoalStatus;StepStatus;AssertionCriterion;ActionCall;EnvironmentFingerprint;PreconditionFingerprint;GoalDefinition;PlannerLimits;ToolDescriptor;PlaybookHint;StepSpec;GoalDecompositionRequest;DecompositionProposal;PlanRevision;AssertionResult;VerificationContract;StepSnapshot;RevisionSnapshot;PlannerSnapshot;AdaptiveDAGPlanner,__future__;dataclasses;datetime;enum;hashlib;heapq;json;math;pydantic;re;threading;typing,persistence,1,true,subsystem-review,true
backend/src/jarvis_gpt/executive_runtime.py,production,execution,140177,3586,ExecutiveStepClaim;ExecutiveStepOutcome;MissionDecompositionStep;MissionDecomposition;TrustedInspectorEvidence;ExecutiveCoordinator;validate_mission_decomposition;validate_mission_goal_coverage,.cognitive_memory;.execution_protocol;.executive_planner;.models;.state_verification;.storage;__future__;dataclasses;datetime;hashlib;json;re;threading;typing;urllib.parse,persistence,5,true,subsystem-review,true
backend/src/jarvis_gpt/experience.py,production,state-memory,26016,728,ExperienceManager,.;.config;.models;.storage;__future__;asyncio;time;typing,persistence;process,28,true,subsystem-review,true
backend/src/jarvis_gpt/file_types.py,production,web-document,33538,926,FileTypeInfo;archive_kinds;document_kinds;is_archive_kind;is_document_kind;identify_path;identify_bytes,__future__;dataclasses;mimetypes;pathlib;re;struct;typing,persistence;process,1,true,subsystem-review,true
backend/src/jarvis_gpt/host_bridge.py,production,tools-host-web,9954,282,HostBridgeStatus;HostBridgeClient;bridge_token_path;bridge_token_paths;read_bridge_token,.config;__future__;hashlib;httpx;os;pathlib;socket;typing,network;persistence,29,true,subsystem-review,true
backend/src/jarvis_gpt/ingest.py,production,web-document,15123,425,StoredFile;FileIngestor;extract_file_index,.config;.document_runtime;.document_surfer;.storage;__future__;dataclasses;hashlib;mimetypes;os;pathlib;re;typing;zipfile,persistence;process,7,true,subsystem-review,true
backend/src/jarvis_gpt/learning.py,production,state-memory,16791,428,LearningEngine,.llm;.storage;__future__;json;typing,,20,true,subsystem-review,false
backend/src/jarvis_gpt/llm.py,production,llm-agent,24212,636,LLMResult;LLMStreamChunk;background_llm_priority;LLMRouter,.config;.model_catalog;__future__;asyncio;collections.abc;contextlib;contextvars;dataclasses;httpx;json;math;statistics;threading;time;typing,network,213,true,subsystem-review,true
backend/src/jarvis_gpt/main.py,production,backend-api,76,6,,.api;__future__,,30,true,subsystem-review,false
backend/src/jarvis_gpt/memory_vault.py,production,state-memory,9124,251,MemoryVault,__future__;os;pathlib;re;tempfile;typing,persistence,3,true,subsystem-review,true
backend/src/jarvis_gpt/model_catalog.py,production,profiles-models,7309,191,ModelCatalog;model_allowed_for_profile,.config;.storage;__future__;datetime;json;pathlib;typing,process,2,true,subsystem-review,true
backend/src/jarvis_gpt/model_hub.py,production,profiles-models,42814,1160,DownloadedFile;DownloadCancelled;ModelHubManager;estimate_local_model;estimate_remote_model,.config;.model_catalog;.storage;__future__;concurrent.futures;dataclasses;json;os;pathlib;re;shutil;subprocess;threading;time;typing;urllib.error;urllib.parse;urllib.request,network;persistence;process,9,true,subsystem-review,true
backend/src/jarvis_gpt/models.py,schema,backend-core,21836,763,ApiEnvelope;ChatAttachment;ChatRequest;ChatEvent;ChatResponse;ConversationItem;MessageItem;MessageFeedbackRequest;MissionCreateRequest;MissionTaskUpdateRequest;MissionTask;Mission;MemoryCreateRequest;MemoryItem;MemoryGraphNode;MemoryGraphEdge;MemoryVaultNote;MemoryVaultResponse;MemoryHygieneResponse;FileItem;FileChunkHit;FileIngestResponse;ModelArtifact;ModelCatalogResponse;ModelSearchResponse;ModelProfilePlan;ModelProfilesResponse;ModelDownloadRequest;ModelActivateRequest;DispatcherStatusResponse;DispatcherActionResponse;TelemetryResponse;LearningTickResponse;HostBridgeResponse;AutonomyStatusResponse;AuditEntry;ApprovalCreateRequest;ApprovalUpdateRequest;ApprovalItem;ApprovalExecutionResponse;ToolInfo;ToolRunRequest;ToolRunResponse;MissionExecutionResponse;MissionStepOutcome;MissionRunResponse;OperatorQueueItem;OperatorQueueResponse;DiagnosticCheck;DiagnosticsResponse;RuntimePreferencesResponse;RuntimePreferencesUpdateRequest;AutonomyPolicyResponse;AutonomyPolicyUpdateRequest;DailyBriefingResponse;SelfHealIssue;SelfHealAction;SelfHealResponse;BenchmarkResponse;BrowserPolicyResponse;BrowserPolicyUpdateRequest;DockerPolicyResponse;DockerPolicyUpdateRequest;DockerContainersResponse;CleanupRequest;AutonomyJobCreateRequest;AutonomyJobUpdateRequest;AutonomyJobResponse;AutonomyJobRunResponse;RoutineResponse;RoutineRunResponse;DirectoryIngestRequest;DirectoryIngestResponse;StatusResponse;OperatorPersonaResponse;OperatorPersonaUpdateRequest;OperatorPersonaInsightRequest,__future__;pydantic;typing,process,55,true,subsystem-review,false
backend/src/jarvis_gpt/operations.py,production,tools-host-web,25547,685,OperationsManager;docker_container_allowed,.config;.storage;__future__;datetime;json;shutil;subprocess;typing,persistence;process,34,true,subsystem-review,true
backend/src/jarvis_gpt/operator_queue.py,production,autonomy-jobs,16599,414,operator_queue_snapshot;answer_quality_report;operator_context;memory_hygiene_report;model_profile_plan,.config;.storage;__future__;collections;datetime;re;typing,persistence,2,true,subsystem-review,true
backend/src/jarvis_gpt/persona.py,production,state-memory,11603,328,load_persona;normalize_persona;is_configured;home_location;primary_language;render_system_block;PersonaManager,.config;.storage;__future__;typing,persistence,45,true,subsystem-review,true
backend/src/jarvis_gpt/redaction.py,production,defensive-design,2379,67,redact_text;redact_value,__future__;collections.abc;re;typing,,1,true,subsystem-review,false
backend/src/jarvis_gpt/runtime_lease.py,production,autonomy-jobs,7550,207,RuntimeLeaseError;PrimaryRuntimeLease,__future__;datetime;hashlib;json;os;pathlib;socket;sys;threading;types,network;persistence,2,true,subsystem-review,true
backend/src/jarvis_gpt/shop_registry.py,production,web-document,4913,148,ShopSource;normalize_shop_text;find_shop_source;find_shop_sources;get_shop_source;get_shop_source_by_host;shop_search_url,__future__;dataclasses;re;urllib.parse,persistence,1,true,subsystem-review,true
backend/src/jarvis_gpt/state_verification.py,production,execution,66250,1684,VerificationStatus;RiskLevel;GateStatus;VerificationEvidence;PathExpectation;TcpExpectation;ProcessExpectation;VerificationExpectation;ProcessBaselineObservation;ProcessVerificationBaseline;VerificationResult;GateEvidence;GateDecision;StateVerifier;SafeGate,.execution_actions;.execution_filesystem;.execution_models;.execution_session;__future__;ast;asyncio;base64;binascii;collections.abc;configparser;contextlib;dataclasses;datetime;enum;hashlib;hmac;io;ipaddress;json;os;pathlib;re;secrets,network;persistence;process,8,true,subsystem-review,true
backend/src/jarvis_gpt/storage.py,production,state-memory,109380,3113,utc_now;new_id;JarvisStorage,.memory_vault;.redaction;__future__;collections.abc;datetime;json;pathlib;re;sqlite3;threading;typing;uuid,persistence,2149,true,subsystem-review,true
backend/src/jarvis_gpt/supervisor.py,production,autonomy-jobs,18293,449,RuntimeSupervisor,.config;.diagnostics;.learning;.llm;.storage;.telemetry;__future__;asyncio;contextlib;json;typing,,12,true,subsystem-review,false
backend/src/jarvis_gpt/telemetry.py,production,autonomy-jobs,10851,313,TelemetryCollector,.config;.storage;__future__;copy;ctypes;json;os;pathlib;platform;shutil;socket;subprocess;threading;time;typing,network;persistence;process,10,true,subsystem-review,true
backend/src/jarvis_gpt/tools.py,production,tools-host-web,570967,15250,ToolContext;ToolSpec;OperatorTurnAuthorizationError;OperatorTurnAuthorization;ToolRegistry;mode_deadline_sec;browser_handoff_snapshot;internet_observability_snapshot,.browser_cdp;.cognitive_memory;.config;.diagnostics;.dispatcher;.document_memory;.document_runtime;.document_surfer;.execution_config;.execution_kernel;.execution_protocol;.execution_session;.executive_runtime;.host_bridge;.ingest;.learning;.llm;.model_catalog;.models;.operations;.persona;.redaction;.shop_registry;.state_verification,network;persistence;process,550,true,subsystem-review,true
backend/src/jarvis_gpt/verification.py,production,execution,9647,217,Verdict;build_verification_messages;parse_verdict;build_repair_messages;deterministic_mission_report;build_mission_report_messages;valid_mission_report,__future__;collections.abc;dataclasses;json;re;typing,,112,true,subsystem-review,false
backend/src/jarvis_gpt/web_orchestrator.py,production,web-document,24420,689,WebMode;WebBudgetExceeded;WebBudgetLimits;WebRequest;BoundedResult;normalize_web_mode;WebRunBudget;WebOrchestrator;analyze_shopping_source,__future__;asyncio;collections.abc;dataclasses;decimal;enum;re;time;typing;urllib.parse,persistence,1,true,subsystem-review,true
backend/src/jarvis_gpt/web_surfer.py,production,web-document,137137,3624,shop_search_url;WebSurferError;BrowserLaunchError;ProxyError;NavigationError;AntiBotError;ParsingError;SurferTimeoutError;SurferConfig;JarvisWebSurfer,.shop_registry;__future__;asyncio;collections.abc;contextlib;dataclasses;html;json;logging;math;pathlib;random;re;sys;time;typing;urllib.parse,persistence;process,8,true,subsystem-review,true
backend/src/jarvis_gpt/web_surfer_adapter.py,production,web-document,55152,1383,WebSurferResult;WebSurferAdapter,.execution_process;.redaction;__future__;asyncio;collections.abc;contextlib;dataclasses;inspect;ipaddress;json;math;os;pathlib;re;secrets;select;signal;socket;struct;subprocess;sys;threading;time;types,network;persistence;process,4,true,subsystem-review,true
backend/src/jarvis_gpt/web_surfer_worker.py,production,web-document,17094,523,main,.execution_process;.redaction;.web_surfer_adapter;__future__;asyncio;collections.abc;contextlib;ctypes;importlib;inspect;json;os;re;select;signal;socket;sys;time;typing,network;persistence,1,true,subsystem-review,true
backend/tests/test_agent.py,test,backend-tests,167522,4366,test_operator_execution_effect_key_canonicalizes_explicit_defaults;test_operator_execution_rejects_unrequested_effect_flags;test_operator_gui_and_browser_authority_rejects_extra_operands;test_agent_creates_mission_from_large_goal;test_agent_executes_next_mission_step;test_run_mission_chains_all_steps_offline;test_run_mission_respects_step_budget;test_concurrent_mission_execution_claims_only_one_step;test_cancelled_mission_step_does_not_remain_running;test_cancelled_executive_step_reconciles_without_replaying_action;test_executive_autonomy_rejects_unverified_side_effect_wrappers;test_blocked_mission_step_prevents_skipping_to_later_tasks;test_missing_executive_plan_never_falls_through_to_legacy_fifo;test_agent_streams_chat_response;test_agent_includes_runtime_date_context;test_moscow_timezone_falls_back_to_fixed_utc_plus_three;test_exact_russian_news_query_bypasses_fast_fact_and_passes_moscow_window;test_dns_catalog_failure_is_not_replaced_by_generic_web_answer;test_bounded_news_exception_does_not_fall_back_to_legacy_search;test_bounded_news_partial_result_names_missing_date;test_agent_passes_chat_attachments_to_llm_context;test_agent_routes_persisted_document_recall_and_exposes_file_id;test_document_memory_route_is_not_intercepted_by_weather;test_agent_carries_recent_attachment_into_summary_followup;test_agent_binds_singular_followup_to_latest_attachment_turn;test_agent_reuses_successful_recall_for_deictic_followup;test_agent_stream_persists_successful_document_recall;test_agent_routes_saved_archive_to_archive_tools;test_document_tool_prompt_hints_and_observations_keep_content;test_document_memory_routing_distinguishes_persisted_file_from_web_report;test_document_memory_ambiguity_returns_before_llm;test_agent_can_disable_model_thinking;test_agent_executes_explicit_wiki_open_without_approval;test_agent_opens_bare_domain_without_approval;test_stream_chat_opens_explicit_url_without_approval;test_explicit_shop_product_url_is_opened_not_catalog_searched;test_agent_opens_file_with_default_windows_application;test_agent_creates_empty_file_without_approval;test_meta_or_deferred_phrases_do_not_authorize_actions;test_agent_opens_calculator_with_host_bridge;test_agent_calculator_understands_russian_multiply_sign;test_agent_opens_only_fixed_top_process_console;test_agent_returns_bounded_top_process_snapshot;test_agent_ignores_raw_console_commands_without_approval_or_execution;test_agent_does_not_treat_creative_writing_as_gui_input;test_agent_executes_explicit_active_window_input;test_agent_opens_named_programs_through_native_layer;test_agent_opens_explicit_file_in_named_app;test_agent_captures_screen_when_asked_to_look;test_agent_types_into_general_windows_app;test_agent_routes_wmi_requests_to_native_layer;test_agent_researches_google_style_query;test_agent_researches_current_ticket_request;test_agent_researches_public_sources_self_lookup;test_agent_researches_dns_shop_product_without_public_sources_suffix;test_agent_keeps_dns_records_in_public_sources_context;test_agent_retries_shopping_search_with_short_query;test_agent_expands_bare_gpu_model_for_dns_shop;test_agent_cleans_noisy_dns_shopping_subject_for_new_search;test_agent_returns_dns_links_when_store_blocks_automation;test_agent_retries_shopping_search_when_results_are_only_store_shells;test_agent_skips_shopping_synthesis_even_when_product_fetch_succeeds;test_agent_sorts_previous_shopping_results_and_opens_cheapest;test_agent_searches_and_opens_selected_shopping_result_in_same_turn;test_agent_sorts_shopping_candidates_with_usd_prices;test_agent_researches_marketplace_product_without_osint;test_agent_researches_nearby_pharmacy_as_place_lookup;test_agent_researches_public_office_phone_without_osint;test_agent_infers_weather_city_from_public_ip;test_agent_asks_weather_city_when_ip_location_unavailable;test_agent_researches_uncertain_everyday_choice;test_agent_does_not_web_search_hypothetical_reasoning_scenario;test_agent_keeps_anomalous_timeline_puzzle_in_reasoning_path;test_task_kernel_records_reasoning_route_in_prompt_and_metadata;test_operator_profile_context_includes_typed_memory_and_working_roots;test_agent_captures_implicit_operator_workflow_memory;test_agent_does_not_web_search_logic_error_request;test_semantic_router_blocks_ambiguous_reasoning_web_false_positive;test_semantic_router_can_refine_ambiguous_web_query;test_agent_uses_web_answer_engine_for_google_like_query;test_agent_non_shopping_web_answer_does_not_poison_shopping_followup;test_web_research_synthesizes_fetched_evidence;test_web_research_synthesis_rejects_router_json;test_web_research_followup_uses_previous_evidence;test_reasoning_arbiter_can_override_shopping_keyword_plug;test_arbiter_routes_local_query_to_native_inspection;test_arbiter_gate_opens_for_local_bucket_and_stays_closed_for_chat;test_reasoning_arbiter_can_promote_research_to_mission;test_intent_router_receives_operator_persona_context;test_agent_ranks_generic_results_by_youngest;test_agent_researches_technical_freshness_question;test_agent_researches_post_2026_question;test_agent_does_not_web_search_local_docker_request;test_agent_keeps_post_2026_local_logs_local;test_agent_context_includes_relevance_snippets;test_agent_captures_explicit_operator_memory;test_agent_compacts_long_conversation_with_fallback;test_agent_compacts_very_long_conversation_in_chunks;test_agent_compacts_long_conversation_with_llm;test_agent_context_includes_operator_preferences;test_agent_marks_non_streamed_answer_stopped_by_token_limit;FakeStreamingLLM;FakeLimitedStreamingLLM;FakeTaggedStreamingLLM;FakeThinkingStreamingLLM;test_agent_cleans_service_prefixes_from_streamed_answer;test_agent_marks_streamed_answer_stopped_by_token_limit;test_agent_filters_thinking_blocks_from_stream,__future__;asyncio;dataclasses;datetime;jarvis_gpt.agent;jarvis_gpt.config;jarvis_gpt.event_bus;jarvis_gpt.executive_runtime;jarvis_gpt.ingest;jarvis_gpt.llm;jarvis_gpt.models;jarvis_gpt.storage;json;pathlib;pytest;zipfile,persistence;process,0,true,subsystem-review,false
